shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United National Movement,Industrialists - Our Homeland,Free Democrats,Georgian Dream,Initiative Group
Precinct,02.75,02.02.75,415,44.77,,,,,1.66,,,,0,,,,0,0.59,0.67,0.44,,,,,,,13.25,0.0,0.0,86.75,0.0
Precinct,02.76,02.02.76,482,40.54,,,,,1.63,,,,0,,,,0,0.39,0.93,0.66,,,,,,,21.99,0.0,0.0,78.01,0.0
Precinct,03.01,06.03.01,508,34.25,,,,,2.68,,,,0,,,,0,0.63,0.93,0.52,,,,,,,18.11,0.0,0.0,81.89,0.0
Precinct,03.02,06.03.02,617,38.93,,,,,1.28,,,,0,,,,0,0.74,1.09,0.67,,,,,,,25.12,0.0,0.0,74.88,0.0
Precinct,03.03,06.03.03,511,34.53,,,,,2.67,,,,3,,,,0,0.57,0.98,0.53,,,,,,,24.07,0.0,0.0,75.34,0.0
Precinct,03.04,06.03.04,447,31.68,,,,,2.83,,,,0,,,,0,0.45,0.89,0.48,,,,,,,22.15,0.0,0.0,77.85,0.0
Precinct,03.05,06.03.05,566,35.49,,,,,3.74,,,,0,,,,0,0.62,1.14,0.54,,,,,,,18.37,0.0,0.0,81.63,0.0
Precinct,03.08,06.03.08,511,34.95,,,,,1.16,,,,0,,,,0,0.57,0.84,0.72,,,,,,,18.2,0.0,0.0,81.8,0.0
Precinct,03.09,06.03.09,673,44.28,,,,,2.18,,,,0,,,,0,0.67,1.26,0.82,,,,,,,22.59,0.0,0.0,77.41,0.0
Precinct,03.10,06.03.10,587,41.28,,,,,2.33,,,,0,,,,0,0.55,1.23,0.56,,,,,,,20.27,0.0,0.0,79.73,0.0
Precinct,03.11,06.03.11,520,36.01,,,,,2.8,,,,0,,,,0,0.55,1.03,0.52,,,,,,,24.04,0.0,0.0,75.96,0.0
Precinct,03.14,06.03.14,606,39.22,,,,,1.3,,,,0,,,,0,0.65,1.1,0.72,,,,,,,17.99,0.0,0.0,82.01,0.0
Precinct,03.26,06.03.26,455,39.5,,,,,2.78,,,,1,,,,0,0.5,0.84,0.54,,,,,,,22.42,0.0,0.0,77.36,0.0
Precinct,03.27,06.03.27,273,40.03,,,,,4.21,,,,0,,,,0,0.28,0.56,0.27,,,,,,,18.32,0.0,0.0,81.69,0.0
Precinct,03.28,06.03.28,473,36.36,,,,,1.05,,,,0,,,,0,0.48,0.92,0.48,,,,,,,19.24,0.0,0.0,80.76,0.0
Precinct,03.29,06.03.29,491,36.13,,,,,2.0,,,,0,,,,0,0.55,0.99,0.39,,,,,,,18.74,0.0,0.0,81.26,0.0
Precinct,03.30,06.03.30,427,32.87,,,,,1.39,,,,0,,,,0,0.56,0.73,0.44,,,,,,,24.82,0.0,0.0,75.18,0.0
Precinct,03.31,06.03.31,525,35.28,,,,,2.05,,,,0,,,,0,0.49,0.99,0.68,,,,,,,22.1,0.0,0.0,77.9,0.0
Precinct,03.43,06.03.43,529,34.67,,,,,2.22,,,,0,,,,0,0.38,1.08,0.69,,,,,,,15.5,0.0,0.0,84.5,0.0
Precinct,03.44,06.03.44,484,32.2,,,,,1.83,,,,0,,,,0,0.41,0.92,0.65,,,,,,,17.77,0.0,0.0,82.23,0.0
Precinct,03.45,06.03.45,473,43.35,,,,,3.86,,,,0,,,,0,0.54,1.01,0.32,,,,,,,21.78,0.0,0.0,78.22,0.0
Precinct,03.48,06.03.48,387,28.65,,,,,3.25,,,,0,,,,0,0.48,0.66,0.47,,,,,,,16.54,0.0,0.0,83.46,0.0
Precinct,03.54,06.03.54,617,43.98,,,,,1.12,,,,0,,,,0,0.65,1.15,0.68,,,,,,,20.26,0.0,0.0,79.74,0.0
Precinct,03.61,06.03.61,455,34.52,,,,,2.15,,,,0,,,,0,0.41,0.98,0.4,,,,,,,18.9,0.0,0.0,81.1,0.0
Precinct,03.62,06.03.62,453,35.47,,,,,3.82,,,,0,,,,0,0.35,0.88,0.68,,,,,,,20.97,0.0,0.0,79.03,0.0
Precinct,03.63,06.03.63,516,34.89,,,,,2.64,,,,0,,,,0,0.58,0.97,0.55,,,,,,,19.19,0.0,0.0,80.81,0.0
Precinct,03.69,06.03.69,597,37.13,,,,,2.45,,,,0,,,,0,0.59,1.16,0.68,,,,,,,21.44,0.0,0.0,78.56,0.0
Precinct,03.71,06.03.71,477,42.21,,,,,3.25,,,,0,,,,0,0.61,0.81,0.57,,,,,,,18.03,0.0,0.0,81.97,0.0
Precinct,03.72,06.03.72,597,42.77,,,,,1.97,,,,0,,,,0,0.52,1.27,0.57,,,,,,,21.78,0.0,0.0,78.22,0.0
Precinct,03.77,06.03.77,412,27.91,,,,,1.2,,,,0,,,,0,0.37,0.84,0.42,,,,,,,18.45,0.0,0.0,81.55,0.0
Precinct,03.78,06.03.78,518,36.43,,,,,3.72,,,,0,,,,0,0.78,0.9,0.45,,,,,,,22.78,0.0,0.0,77.22,0.0
Precinct,03.81,06.03.81,324,25.37,,,,,2.7,,,,0,,,,0,0.45,0.53,0.37,,,,,,,20.68,0.0,0.0,79.32,0.0
Precinct,03.82,06.03.82,366,34.14,,,,,2.14,,,,0,,,,0,0.45,0.66,0.38,,,,,,,24.86,0.0,0.0,75.14,0.0
Precinct,03.83,06.03.83,619,38.33,,,,,1.43,,,,0,,,,0,0.56,1.26,0.65,,,,,,,25.04,0.0,0.0,74.96,0.0
Precinct,01.35,07.01.35,602,46.09,,,,,2.9,,,,0,,,,0,0.77,0.96,0.82,,,,,,,25.25,0.0,0.0,74.75,0.0
Precinct,01.36,07.01.36,151,44.81,,,,,2.58,,,,0,,,,0,0.3,0.21,0.11,,,,,,,25.17,0.0,0.0,74.83,0.0
Precinct,01.37,07.01.37,863,51.37,,,,,1.6,,,,0,,,,0,0.95,1.46,1.16,,,,,,,19.12,0.0,0.0,80.88,0.0
Precinct,01.38,07.01.38,618,62.61,,,,,1.44,,,,0,,,,0,0.78,1.08,0.64,,,,,,,38.67,0.0,0.0,61.33,0.0
Precinct,01.39,07.01.39,786,59.91,,,,,1.38,,,,0,,,,0,0.97,1.28,1.01,,,,,,,18.58,0.0,0.0,81.42,0.0
Precinct,04.02,07.04.02,414,29.98,,,,,2.13,,,,0,,,,0,0.43,0.79,0.46,,,,,,,27.29,0.0,0.0,72.71,0.0
Precinct,04.03,07.04.03,409,27.25,,,,,2.62,,,,0,,,,0,0.34,0.71,0.69,,,,,,,29.83,0.0,0.0,70.17,0.0
Precinct,04.04,07.04.04,385,28.23,,,,,0.77,,,,0,,,,0,0.4,0.72,0.42,,,,,,,22.6,0.0,0.0,77.4,0.0
