shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,People's Government,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Our Georgia,Georgian Dream
District,39,39,21482,50.48,0,13,18,9,,13,32.5,3.23,,0,0.0,,,,,,0,0,0,0,40,33.33,1.92,0.04,3.37,0.1,23.13,0.96,0.05,8.92,4.18,0.42,0.1,0.19,0.04,0.05,0.07,0.11,0.55,0.04,0.02,0.01,0.15,5.39,0.03,0.07,49.87
District,40,40,23850,51.42,1,13,25,10,,12,24.49,1.58,,1,2.04,14.0,,,,,0,0,0,0,49,33.33,2.16,0.05,3.8,0.09,24.76,0.57,0.09,3.49,4.09,0.08,0.07,0.16,0.05,0.09,0.19,0.14,0.87,0.06,0.05,0.03,0.37,7.35,0.08,0.03,51.25
District,41,41,23834,48.7,0,4,30,6,,12,30.0,1.42,,3,7.5,2.33,,,,,0,0,0,0,40,33.33,3.54,0.06,4.32,0.1,23.73,0.7,0.08,4.56,3.72,0.06,0.39,0.32,0.03,0.34,0.15,0.21,0.98,0.05,0.07,0.02,1.33,14.03,0.08,0.1,41.0
District,42,42,25658,51.35,1,18,28,5,,15,28.85,2.33,,3,5.77,4.33,,,,,0,0,0,0,52,33.33,3.5,0.04,4.17,0.11,27.02,0.32,0.21,3.65,2.85,0.05,0.19,0.19,0.04,0.32,0.06,0.51,1.36,0.05,0.04,0.05,2.75,5.74,0.04,0.1,46.57
District,43,43,23037,46.08,0,14,29,9,,8,15.38,1.38,,2,3.85,35.5,,,,,0,0,0,0,52,33.33,5.8,0.03,4.16,0.07,25.74,1.53,0.07,6.52,6.39,0.07,0.18,0.3,0.06,0.07,0.22,0.19,4.56,0.05,0.03,0.01,0.44,5.55,0.08,0.05,38.11
District,44,44,29157,57.97,0,18,28,7,,12,22.64,3.08,,4,7.55,30.75,,,,,0,0,0,0,53,33.33,2.65,0.03,1.77,0.09,42.69,0.53,0.09,1.66,2.33,0.03,0.05,0.09,0.03,0.04,0.09,0.04,1.0,0.05,0.13,0.02,0.23,2.9,0.05,0.06,43.63
District,45,45,22954,52.14,10,33,20,7,,5,7.14,6.6,,0,0.0,,,,,,0,0,0,0,70,33.33,3.32,0.02,4.82,0.07,21.04,0.71,0.61,8.51,3.49,0.05,0.05,0.2,0.04,0.06,0.07,0.08,1.25,0.03,0.12,0.21,0.18,2.26,0.05,0.05,52.57
District,46,46,24637,47.52,7,10,25,47,,18,20.22,2.5,,0,0.0,,,,,,1,0,0,1,89,33.33,5.11,0.16,3.37,0.09,20.28,3.57,0.09,1.36,0.26,0.24,0.09,0.22,0.12,0.18,0.22,0.08,1.12,0.09,0.13,0.05,0.3,0.19,0.04,0.6,61.86
District,47,47,23066,43.45,0,21,20,3,,13,29.55,2.77,,4,9.09,1.75,,,,,0,0,0,0,44,33.33,4.6,0.06,3.38,0.08,31.39,1.11,0.11,4.9,3.94,0.03,0.12,0.13,0.02,0.19,0.09,0.14,0.63,0.08,0.01,0.01,0.74,4.5,0.07,0.04,43.51
District,48,48,22653,41.9,1,23,14,3,,11,26.83,3.73,,0,0.0,,,,,,0,0,0,0,41,33.33,3.46,0.04,4.35,0.1,28.7,1.45,0.34,4.84,3.86,0.04,0.04,0.09,0.03,0.12,0.09,0.11,0.59,0.11,0.03,0.0,0.8,4.95,0.3,0.02,45.37
