region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,79,103,1514,13,1350,,,812,780,32,6,282,2,29,13,11,437
,,79,104,1396,12,1250,,,797,752,42,7,176,1,26,3,5,534
,,80,1,1311,28,1200,,,929,884,43,2,398,7,52,29,4,392
,,80,2,829,9,800,,,587,572,11,1,332,8,31,14,3,183
,,80,3,301,3,300,,,248,238,10,0,111,0,12,1,2,112
,,80,4,478,2,500,,,347,338,9,2,157,1,37,4,6,131
,,80,5,284,3,300,,,225,215,10,1,97,5,8,5,2,97
,,80,6,426,1,450,,,260,253,7,0,113,2,14,4,3,117
,,80,7,332,1,350,,,240,234,6,0,105,0,22,0,2,105
,,80,8,287,2,300,,,212,200,10,0,97,5,7,5,0,86
,,80,9,307,1,300,,,206,198,8,0,116,0,8,0,3,71
,,80,10,621,1,550,,,419,406,12,0,198,7,16,7,2,176
,,80,11,355,4,350,,,296,283,13,0,94,2,8,35,5,139
,,80,12,411,2,450,,,317,293,24,0,132,5,18,6,3,129
,,80,13,469,2,450,,,332,315,17,0,105,18,25,3,2,162
,,80,14,675,3,600,,,491,468,23,3,201,1,19,7,8,229
,,80,15,566,1,500,,,375,359,15,42,143,0,19,6,2,147
,,80,16,756,1,700,,,531,505,25,0,136,2,73,6,3,285
,,80,17,540,3,500,,,398,381,14,3,134,0,30,29,2,183
,,80,18,900,2,850,,,658,637,21,4,385,3,26,4,3,212
,,80,19,178,4,200,,,140,138,1,0,94,2,3,1,1,37
,,80,20,498,2,500,,,377,364,13,2,235,4,12,0,4,107
,,80,21,275,0,300,,,223,219,4,0,134,1,6,0,4,74
,,80,22,517,1,500,,,387,364,23,0,184,0,16,4,2,158
,,80,23,428,0,450,,,319,302,14,3,134,2,26,3,4,130
,,80,24,242,2,250,,,175,175,0,1,102,0,4,4,2,62
,,80,25,522,0,500,,,382,373,9,1,188,4,13,0,3,164
,,80,26,547,2,500,,,387,372,14,1,116,1,12,21,2,219
,,80,27,559,3,500,,,362,351,11,0,180,4,8,3,3,153
,,80,28,388,4,400,,,305,295,8,0,163,6,15,5,3,103
,,80,29,910,3,850,,,575,551,22,0,280,2,15,12,5,237
,,80,30,321,7,350,,,221,213,8,0,132,1,3,2,4,71
,,80,31,518,0,500,,,349,343,6,0,165,5,22,9,5,137
,,81,1,762,6,650,,,461,443,18,2,181,1,10,0,4,245
,,81,2,1100,8,950,,,592,579,12,5,179,2,13,6,5,369
,,81,3,1041,9,900,,,570,535,35,3,166,1,9,1,7,348
,,81,4,1043,6,900,,,688,653,22,6,142,6,6,5,7,481
,,81,5,1148,10,1050,,,695,679,16,8,218,13,13,2,7,418
,,81,6,705,7,650,,,484,473,10,9,148,0,11,2,2,301
,,81,7,1220,7,1100,,,727,699,28,15,185,0,12,2,9,476
,,81,8,810,2,700,,,477,458,19,5,120,2,5,0,3,323
,,81,9,1300,4,1200,,,877,845,22,5,262,2,12,0,4,560
,,81,10,1386,7,1300,,,932,900,30,5,316,5,25,2,4,543
,,81,11,1183,3,1050,,,638,615,21,1,388,2,25,1,9,189
,,81,12,1497,2,1400,,,914,889,25,5,540,3,26,16,12,287
,,81,13,970,1,800,,,575,552,23,4,173,2,30,2,9,332
,,81,14,1271,2,1100,,,689,669,19,4,271,0,27,3,15,349
,,81,15,1534,8,1350,,,779,758,18,0,280,4,22,0,9,443
,,81,16,312,9,300,,,166,150,7,0,62,0,3,2,0,83
,,81,17,1323,3,1200,,,744,727,17,0,332,0,29,4,10,352
,,81,18,691,2,650,,,489,471,18,2,221,1,16,1,7,223
,,81,19,1321,2,1250,,,877,851,25,9,254,2,18,1,3,564
,,81,20,1121,2,1050,,,770,736,34,2,362,1,22,0,8,341
,,81,21,1538,2,1400,,,802,787,14,4,261,9,28,7,18,460
,,81,22,1208,6,1050,,,672,647,25,0,253,1,15,0,6,372
,,81,23,1347,3,1250,,,921,899,21,10,451,1,15,3,11,408
,,81,24,1363,6,950,,,583,561,21,1,296,2,16,3,8,235
,,81,25,723,1,700,,,506,493,13,4,233,2,18,1,3,232
,,81,26,1273,5,1200,,,680,652,25,17,249,1,7,3,12,363
,,81,27,1504,2,1350,,,738,683,53,4,300,5,10,2,13,349
,,81,28,578,4,500,,,281,278,3,2,148,1,13,0,2,112
,,81,29,1586,9,1500,,,905,877,28,3,414,4,18,6,16,416
,,81,30,1474,2,1350,,,692,664,28,6,268,3,13,1,7,366
,,81,31,1061,9,1000,,,676,658,18,5,299,2,4,0,10,338
,,81,32,1166,4,1100,,,813,791,20,3,344,1,21,3,9,410
,,81,33,671,2,600,,,449,368,79,1,210,0,14,0,5,138
,,81,34,1168,3,850,,,506,494,11,0,255,1,9,1,11,217
,,81,35,934,3,850,,,548,522,26,0,193,0,9,0,8,312
,,81,36,1244,3,1150,,,754,749,3,1,326,1,21,1,104,295
,,81,37,212,4,250,,,154,153,1,0,81,0,2,0,3,67
,,81,38,1217,3,1150,,,774,753,21,2,203,0,12,3,7,526
,,81,39,521,3,500,,,355,346,8,0,122,1,11,3,5,204
,,81,40,565,3,500,,,389,379,10,3,103,0,20,0,6,247
