"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","Non-Parliamentary Opposition","Armed Veterans Patriots","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Self-governance to People","Reformers","Future Georgia","Georgian Party","Christian Democrats","Unity Hall","Way of Georgia","Labour Party","Party of People","Merab Kostava Society","Georgian Dream"
"District","58","Tskaltubo","21288","40.8701","1","7","17","42",\N,"18","26.8657","4.9444",\N,"1","1.4925","1.0000",\N,\N,\N,\N,"0","0","0","0","67","100.0000","0.0000","6.3416","9.3433","32.1449","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.7569"
"District","53","Vani","15018","57.1374","0","6","15","10",\N,"7","22.5806","1.7143",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","31","100.0000","0.0000","0.0000","31.9350","13.9832","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","54.0019"
"District","51","Zestaponi","23296","41.5199","0","10","15","28",\N,"11","20.7547","1.6364",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","1","1","53","100.0000","12.5730","0.0000","11.4183","18.6341","0.0000","1.3607","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.7861","0.0000","0.0000","0.0000","52.1506"
"District","18","Akhmeta","14276","46.9158","1","13","12","3",\N,"10","34.4828","3.6000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","29","100.0000","6.0871","0.0000","27.8159","23.2068","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","42.6380"
"District","14","Dedoplistskaro","11416","50.4641","2","12","9","0",\N,"12","52.1739","6.1667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","23","100.0000","1.9184","0.0000","0.0000","10.6254","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","86.8080"
"District","12","Gurjaani","24332","44.9369","0","11","22","18",\N,"21","41.1765","2.8095",\N,"1","1.9608","1.0000",\N,\N,\N,\N,"0","0","0","0","51","102.0000","0.0000","0.0000","13.2007","23.2410","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.2152","0.0000","0.0000","0.0000","61.1047"
"District","16","Kvareli","14908","51.0635","0","0","10","20",\N,"9","30.0000","1.7778",\N,"0","0.0000",\N,\N,\N,\N,\N,"1","0","0","1","30","100.0000","0.0000","0.0000","7.2444","24.2152","7.6939","12.1143","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","48.6249"
"District","15","Lagodekhi","17788","45.5951","1","7","12","17",\N,"14","37.8378","2.1429",\N,"2","5.4054","3.0000",\N,\N,\N,\N,"0","0","0","0","37","105.7143","0.0000","2.1531","32.7580","13.3236","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.6303"
"District","11","Sagarejo","17314","38.0252","1","8","11","29",\N,"12","24.4898","5.3333",\N,"1","2.0408","2.0000",\N,\N,\N,\N,"0","0","0","0","49","100.0000","4.3433","0.9241","6.0356","21.2949","0.0000","5.2847","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.6502","0.0000","58.1090"
"District","13","Signagi","14492","46.8254","0","11","18","6",\N,"14","40.0000","4.6429",\N,"1","2.8571","1.0000",\N,\N,\N,\N,"0","0","0","0","35","97.2222","2.2978","0.0000","8.5219","16.6989","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.6445","66.3953"
"District","17","Telavi","15357","41.3657","0","5","15","18",\N,"16","42.1053","3.1875",\N,"1","2.6316","1.0000",\N,\N,\N,\N,"0","0","0","0","38","70.3704","1.9730","0.0000","21.1955","26.7891","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","49.7167"
"District","23","Bolnisi","19870","35.3792","3","6","15","38",\N,"20","32.2581","2.9500",\N,"2","3.2258","1.0000",\N,\N,\N,\N,"0","0","0","0","62","100.0000","0.0000","0.0000","15.8681","12.9844","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","70.8606"
"District","24","Dmanisi","10730","48.1144","7","7","12","24",\N,"11","22.0000","6.5455",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","50","100.0000","0.0000","0.0000","13.0848","14.8649","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","71.3793"
"District","21","Gardabani","23839","33.4855","0","3","14","46",\N,"15","23.8095","8.0667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","63","101.6129","0.0000","6.7452","8.5448","27.7235","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","56.4789"
"District","22","Marneuli","28845","30.0469","7","10","24","41",\N,"26","30.2326","6.0385",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","1","1","86","100.0000","0.5686","2.2153","13.2051","32.0610","0.0000","0.0000","0.0000","0.0000","0.5998","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50.8060"
"District","26","Tetritskaro","9296","44.7074","3","9","14","14",\N,"7","17.0732","2.1429",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","41","100.0000","0.0000","3.0551","6.3468","33.2616","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.1751"
"District","25","Tsalka","8771","41.7726","5","12","10","18",\N,"7","15.5556","2.2857",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","45","100.0000","0.0000","0.0000","19.8267","21.8105","0.0000","2.9529","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","55.2275"
"District","28","Dusheti","11138","42.7448","3","7","14","28",\N,"11","20.7547","2.8182",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","53","100.0000","0.0000","0.0000","20.0215","8.7359","0.0000","17.0946","0.8080","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","53.0616"
"District","29","Kazbegi","2663","50.8012","1","4","2","3",\N,"3","30.0000","4.6667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","10","100.0000","0.0000","0.0000","18.9260","0.0000","0.0000","14.9456","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.3586","0.0000","0.0000","50.2441"
"District","27","Mtskheta","15557","41.7469","0","0","10","29",\N,"12","30.0000","2.5833",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","1","1","40","93.0233","1.5941","0.0000","0.0000","11.7825","0.0000","11.1204","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","9.3077","14.8165","51.1795"
