region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,32,,30,,950,0,83,257,352,900,12,,,,,,,,,,,,70,,266
,32,,31,,585,5,80,180,248,550,9,,,,,,,,,,,,112,,127
,32,,32,,784,1,106,196,254,750,7,,,,,,,,,,,,84,,163
,32,,33,,779,1,125,294,395,750,8,,,,,,,,,,,,72,,315
,32,,34,,1322,6,108,246,385,1250,6,,,,,,,,,,,,139,,238
,32,,35,,736,8,91,198,285,700,4,,,,,,,,,,,,141,,139
,32,,36,,443,4,52,94,104,450,3,,,,,,,,,,,,30,,71
,32,,37,,245,5,22,68,81,250,0,,,,,,,,,,,,4,,77
,32,,38,,1014,2,204,411,523,950,13,,,,,,,,,,,,208,,302
,32,,39,,913,3,80,228,306,850,9,,,,,,,,,,,,81,,216
,32,,40,,1594,0,129,361,572,1500,15,,,,,,,,,,,,110,,447
,32,,41,,1347,2,160,380,512,1300,9,,,,,,,,,,,,166,,334
,32,,42,,476,4,79,180,219,500,5,,,,,,,,,,,,93,,121
,32,,43,,812,0,114,235,326,750,7,,,,,,,,,,,,111,,207
,32,,44,,1552,0,93,319,505,1500,7,,,,,,,,,,,,178,,320
,32,,45,,924,1,71,153,257,900,10,,,,,,,,,,,,84,,163
,32,,46,,779,5,106,177,229,750,8,,,,,,,,,,,,38,,183
,32,,47,,484,2,134,239,305,500,4,,,,,,,,,,,,75,,226
,32,,48,,1331,9,153,289,388,1250,10,,,,,,,,,,,,125,,253
,32,,49,,1496,5,120,267,376,1450,5,,,,,,,,,,,,148,,223
,32,,50,,1294,2,168,421,553,1250,21,,,,,,,,,,,,83,,449
,32,,51,,1516,2,250,556,718,1450,24,,,,,,,,,,,,358,,336
,32,,52,,657,3,57,205,272,600,5,,,,,,,,,,,,112,,155
,32,,53,,634,5,100,231,294,600,10,,,,,,,,,,,,87,,195
,32,,54,,1592,1,159,386,507,1500,17,,,,,,,,,,,,190,,300
,32,,55,,1595,3,104,329,470,1500,8,,,,,,,,,,,,160,,302
,32,,56,,1227,5,118,296,368,1200,11,,,,,,,,,,,,106,,251
,32,,57,,323,2,29,66,139,350,3,,,,,,,,,,,,11,,125
,32,,58,,722,3,129,284,368,700,12,,,,,,,,,,,,117,,239
,32,,59,,1072,2,126,251,375,1000,6,,,,,,,,,,,,63,,306
,32,,60,,752,1,82,157,242,700,7,,,,,,,,,,,,49,,186
,32,,61,,1581,0,155,401,632,1500,18,,,,,,,,,,,,183,,431
,32,,62,,1541,6,275,621,787,1500,16,,,,,,,,,,,,352,,419
,32,,63,,1212,1,150,351,499,1150,14,,,,,,,,,,,,127,,358
,32,,64,,1125,5,144,351,475,1100,3,,,,,,,,,,,,210,,262
,32,,65,,474,1,73,137,171,500,7,,,,,,,,,,,,47,,117
,32,,66,,908,3,195,400,514,850,7,,,,,,,,,,,,56,,445
,32,,67,,1571,1,197,453,652,1500,22,,,,,,,,,,,,214,,413
,32,,68,,745,10,100,190,257,700,11,,,,,,,,,,,,88,,158
,32,,69,,1227,1,242,427,566,1150,13,,,,,,,,,,,,214,,339
,32,,70,,688,2,156,254,308,650,6,,,,,,,,,,,,94,,208
,32,,71,,1240,2,203,413,526,1200,8,,,,,,,,,,,,125,,393
,32,,72,,596,1,97,184,271,550,9,,,,,,,,,,,,37,,225
,32,,73,,772,2,67,219,301,750,9,,,,,,,,,,,,144,,148
,32,,74,,902,2,139,369,461,850,24,,,,,,,,,,,,216,,221
,32,,75,,1399,1,189,424,621,1350,17,,,,,,,,,,,,89,,515
,32,,76,,475,1,56,144,202,500,6,,,,,,,,,,,,42,,154
,32,,77,,1415,4,171,369,477,1350,12,,,,,,,,,,,,119,,346
,32,,78,,1530,5,209,394,527,1450,17,,,,,,,,,,,,187,,319
,32,,79,,1551,2,245,468,641,1500,22,,,,,,,,,,,,288,,331
,32,,87,,683,4,96,230,314,650,8,,,,,,,,,,,,75,,231
,32,,88,,1129,5,112,296,415,1100,12,,,,,,,,,,,,89,,314
,32,,89,,830,3,74,208,244,800,7,,,,,,,,,,,,38,,198
,32,,90,,876,1,126,279,424,850,5,,,,,,,,,,,,68,,346
,32,,91,,1013,8,124,342,412,950,10,,,,,,,,,,,,193,,208
,32,,92,,1146,6,100,292,475,1100,9,,,,,,,,,,,,222,,244
,32,,93,,1213,1,121,300,430,1150,18,,,,,,,,,,,,73,,339
,32,,94,,1004,6,130,318,377,950,12,,,,,,,,,,,,136,,228
,32,,97,,1140,1,103,234,304,1100,5,,,,,,,,,,,,127,,172
,32,,98,,1499,4,105,198,293,1450,0,,,,,,,,,,,,86,,207
,32,,99,,1144,5,217,519,615,1100,35,,,,,,,,,,,,190,,390
,32,,100,,1150,1,250,450,623,1100,18,,,,,,,,,,,,284,,321
,32,,102,,328,0,106,184,245,350,10,,,,,,,,,,,,107,,128
,32,,103,,194,7,60,98,105,200,7,,,,,,,,,,,,44,,54
,32,,104,,193,6,59,114,160,200,7,,,,,,,,,,,,52,,101
,32,,105,,390,5,125,222,266,400,6,,,,,,,,,,,,153,,107
,32,,106,,300,3,139,207,224,300,9,,,,,,,,,,,,72,,143
,49,,1,,1180,11,239,397,521,1050,8,,,,,,,,,203,,,,,310
,49,,2,,1376,7,235,557,688,1300,20,,,,,,,,,273,,,,,395
,49,,3,,1352,4,224,486,685,1250,19,,,,,,,,,256,,,,,410
,49,,4,,1080,0,217,481,668,1050,10,,,,,,,,,352,,,,,306
,49,,5,,1091,0,229,485,660,1050,12,,,,,,,,,334,,,,,314
,49,,6,,1444,1,267,586,771,1350,9,,,,,,,,,308,,,,,453
,49,,7,,705,2,167,323,366,650,3,,,,,,,,,104,,,,,259
,49,,8,,458,1,150,278,347,500,6,,,,,,,,,148,,,,,193
,49,,9,,1082,0,303,493,625,1000,8,,,,,,,,,213,,,,,404
,49,,10,,602,3,142,212,298,550,4,,,,,,,,,92,,,,,202
,49,,11,,1405,1,306,573,796,1300,14,,,,,,,,,294,,,,,488
,49,,12,,1311,2,224,456,610,1250,7,,,,,,,,,174,,,,,429
,49,,13,,708,1,183,321,411,650,8,,,,,,,,,63,,,,,340
,49,,14,,1339,1,292,534,740,1250,20,,,,,,,,,320,,,,,400
,49,,15,,1357,3,224,417,512,1300,3,,,,,,,,,147,,,,,362
,49,,16,,674,0,107,281,346,650,7,,,,,,,,,170,,,,,169
,49,,17,,1226,2,254,528,661,1150,10,,,,,,,,,296,,,,,355
,49,,18,,1563,1,324,618,811,1500,7,,,,,,,,,320,,,,,484
,49,,19,,1239,3,246,565,757,1200,14,,,,,,,,,238,,,,,505
,49,,20,,1093,0,216,427,648,1000,12,,,,,,,,,303,,,,,333
,49,,21,,1205,2,225,433,637,1150,9,,,,,,,,,268,,,,,360
,49,,22,,1126,2,231,457,606,1050,12,,,,,,,,,206,,,,,388
,49,,23,,1286,1,296,601,736,1200,24,,,,,,,,,254,,,,,458
,49,,24,,1425,2,273,624,794,1350,10,,,,,,,,,240,,,,,544
,49,,25,,1362,1,380,590,733,1250,10,,,,,,,,,309,,,,,414
,49,,26,,1172,7,263,474,632,1100,4,,,,,,,,,269,,,,,359
,49,,27,,838,3,177,393,525,800,6,,,,,,,,,141,,,,,378
,49,,28,,543,3,139,251,338,500,5,,,,,,,,,153,,,,,180
,49,,29,,773,3,170,337,434,750,7,,,,,,,,,135,,,,,292
,49,,30,,738,2,140,348,446,700,7,,,,,,,,,150,,,,,289
,49,,31,,711,9,162,294,368,650,5,,,,,,,,,117,,,,,246
,49,,32,,818,2,200,335,459,750,9,,,,,,,,,191,,,,,259
,49,,33,,304,2,101,167,195,300,3,,,,,,,,,96,,,,,96
,52,,1,,1154,9,208,313,407,1050,5,,,,,,,,,,,,,200,202
,52,,2,,1014,6,211,372,463,900,10,,,,,,,,,,,,,214,236
,52,,3,,1000,7,151,335,448,900,12,,,,,,,,,,,,,195,241
,52,,4,,1100,7,207,371,461,1000,13,,,,,,,,,,,,,145,303
,52,,5,,1045,3,225,353,456,950,10,,,,,,,,,,,,,174,272
,52,,6,,941,2,113,293,341,850,7,,,,,,,,,,,,,217,114
,52,,7,,589,2,90,170,222,550,3,,,,,,,,,,,,,143,76
,52,,8,,965,4,190,332,448,850,8,,,,,,,,,,,,,216,224
,52,,9,,1063,1,192,351,513,1000,5,,,,,,,,,,,,,259,249
,52,,10,,293,5,85,115,133,300,2,,,,,,,,,,,,,69,62
,52,,11,,496,4,121,194,240,500,4,,,,,,,,,,,,,81,155
,52,,12,,1386,5,205,433,599,1250,11,,,,,,,,,,,,,233,355
,52,,13,,856,8,146,277,343,750,9,,,,,,,,,,,,,125,209
,52,,14,,983,6,174,331,454,900,3,,,,,,,,,,,,,104,347
,52,,15,,1053,6,250,520,603,1000,7,,,,,,,,,,,,,252,344
,52,,16,,988,4,251,362,458,900,18,,,,,,,,,,,,,205,235
,52,,17,,472,3,126,188,233,450,4,,,,,,,,,,,,,111,118
,52,,18,,312,2,86,141,160,300,3,,,,,,,,,,,,,71,86
,52,,19,,337,3,63,123,154,350,6,,,,,,,,,,,,,77,71
,52,,20,,274,0,95,150,168,300,7,,,,,,,,,,,,,46,115
,52,,21,,303,2,70,120,162,300,3,,,,,,,,,,,,,115,44
,52,,22,,586,1,60,140,239,550,4,,,,,,,,,,,,,46,189
,52,,23,,941,5,164,246,348,850,15,,,,,,,,,,,,,155,178
,52,,24,,815,0,127,252,326,750,8,,,,,,,,,,,,,135,183
,52,,25,,758,7,141,238,327,650,6,,,,,,,,,,,,,144,176
,52,,26,,803,6,127,333,415,700,8,,,,,,,,,,,,,198,209
,52,,27,,640,7,115,238,325,600,7,,,,,,,,,,,,,173,145
,52,,28,,516,7,92,201,233,500,5,,,,,,,,,,,,,97,131
,52,,29,,619,3,120,290,354,550,4,,,,,,,,,,,,,114,236
,52,,30,,634,7,135,260,305,550,6,,,,,,,,,,,,,93,206
,55,,1,,1385,6,397,693,853,1300,19,,,,,,,,,336,,,,,495
,55,,2,,1369,3,415,681,880,1250,11,,,,,,,,,310,,,,,559
,55,,3,,1415,3,444,683,903,1300,18,,,,,,,,,339,,,,,544
,55,,4,,1367,1,260,630,858,1300,14,,,,,,,,,364,,,,,477
,55,,5,,929,2,301,484,589,900,10,,,,,,,,,388,,,,,191
,55,,6,,666,1,210,368,449,600,6,,,,,,,,,143,,,,,300
,55,,7,,967,1,265,517,628,900,12,,,,,,,,,282,,,,,334
,55,,8,,822,1,262,413,526,750,7,,,,,,,,,265,,,,,254
,55,,9,,350,6,83,183,200,350,4,,,,,,,,,110,,,,,86
,55,,10,,821,5,249,422,523,750,13,,,,,,,,,188,,,,,322
,55,,11,,285,4,83,189,214,300,9,,,,,,,,,100,,,,,105
,55,,12,,895,3,287,430,563,850,8,,,,,,,,,214,,,,,341
,55,,13,,483,1,132,198,235,500,7,,,,,,,,,68,,,,,160
,55,,14,,1345,0,293,527,746,1250,16,,,,,,,,,294,,,,,436
,55,,15,,224,5,100,139,163,250,4,,,,,,,,,50,,,,,109
,55,,16,,668,4,225,374,479,650,6,,,,,,,,,169,,,,,304
,55,,17,,870,2,224,395,530,800,5,,,,,,,,,214,,,,,311
,55,,18,,876,3,246,470,588,800,2,,,,,,,,,390,,,,,196
