"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Free Georgia","National Democratic Party of Georgia","United National Movement","Movement for Fair Georgia","Freedom Party","Merab Kostava Society","Labour Council of Georgia","Labour","Georgian Dream","Ioseb Manjavidze","Zviad Chitishvili","Roman Robakidze","Zurab Mskhvilidze"
"Precinct","26","54-26","546","51.8027","0.0000","0.0000","17.0330","0.3663","0.0000","0.0000","0.1832","0.0000","82.4176","0.0000","0.0000","0.0000","0.0000"
"Precinct","27","54-27","556","57.4974","0.0000","0.0000","20.8633","0.3597","0.3597","0.0000","0.1799","0.0000","78.2374","0.0000","0.0000","0.0000","0.0000"
"Precinct","28","54-28","690","47.1956","0.0000","0.0000","20.8696","0.4348","0.0000","0.0000","0.1449","0.0000","78.5507","0.0000","0.0000","0.0000","0.0000"
"Precinct","29","54-29","478","47.9438","0.0000","0.0000","10.2510","0.6276","0.0000","0.0000","0.2092","0.0000","88.9121","0.0000","0.0000","0.0000","0.0000"
"Precinct","30","54-30","348","48.7395","0.0000","0.0000","19.8276","0.2874","0.2874","0.0000","0.0000","0.0000","79.5977","0.0000","0.0000","0.0000","0.0000"
"Precinct","31","54-31","258","69.1689","0.0000","0.0000","31.0078","0.0000","0.0000","0.0000","0.3876","0.0000","68.6047","0.0000","0.0000","0.0000","0.0000"
"Precinct","32","54-32","128","78.0488","0.0000","0.0000","23.4375","0.0000","0.0000","0.0000","0.0000","0.0000","76.5625","0.0000","0.0000","0.0000","0.0000"
"Precinct","33","54-33","184","50.5495","0.0000","0.0000","21.7391","0.0000","0.0000","0.0000","0.0000","0.0000","78.2609","0.0000","0.0000","0.0000","0.0000"
"Precinct","34","54-34","552","57.8616","0.0000","0.0000","30.2536","0.1812","0.0000","0.0000","0.1812","0.0000","69.3841","0.0000","0.0000","0.0000","0.0000"
"Precinct","35","54-35","535","47.7252","0.0000","0.0000","25.9813","0.0000","0.0000","0.0000","0.0000","0.0000","74.0187","0.0000","0.0000","0.0000","0.0000"
"Precinct","36","54-36","314","59.9237","0.0000","0.0000","14.0127","0.3185","0.0000","0.0000","0.0000","0.0000","85.6688","0.0000","0.0000","0.0000","0.0000"
"Precinct","37","54-37","230","56.5111","0.0000","0.0000","16.9565","0.0000","0.0000","0.0000","0.0000","0.0000","83.0435","0.0000","0.0000","0.0000","0.0000"
"Precinct","38","54-38","135","60.8108","0.0000","0.0000","14.8148","0.0000","0.0000","0.0000","0.0000","0.0000","85.1852","0.0000","0.0000","0.0000","0.0000"
"Precinct","39","54-39","506","39.4081","0.0000","0.0000","13.2411","0.1976","0.1976","0.0000","0.0000","0.0000","86.3636","0.0000","0.0000","0.0000","0.0000"
"Precinct","40","54-40","403","32.2142","0.0000","0.0000","14.3921","0.4963","0.0000","0.0000","0.4963","0.0000","84.6154","0.0000","0.0000","0.0000","0.0000"
"Precinct","41","54-41","519","37.9941","0.0000","0.0000","20.6166","0.0000","0.1927","0.0000","0.1927","0.0000","78.9981","0.0000","0.0000","0.0000","0.0000"
"Precinct","42","54-42","497","34.3469","0.0000","0.0000","31.5895","0.2012","0.4024","0.0000","0.2012","0.0000","67.6056","0.0000","0.0000","0.0000","0.0000"
"Precinct","43","54-43","395","39.6189","0.0000","0.0000","17.2152","0.0000","0.2532","0.0000","0.0000","0.0000","82.5316","0.0000","0.0000","0.0000","0.0000"
"Precinct","44","54-44","409","33.0906","0.0000","0.0000","22.4939","0.0000","0.0000","0.0000","0.4890","0.0000","77.0171","0.0000","0.0000","0.0000","0.0000"
"Precinct","45","54-45","300","37.1287","0.0000","0.0000","11.0000","0.0000","0.0000","0.0000","0.0000","0.0000","89.0000","0.0000","0.0000","0.0000","0.0000"
"Precinct","46","54-46","452","48.8121","0.0000","0.0000","17.4779","0.2212","0.0000","0.0000","0.2212","0.0000","82.0796","0.0000","0.0000","0.0000","0.0000"
"Precinct","47","54-47","242","50.0000","0.0000","0.0000","14.0496","0.4132","0.4132","0.0000","0.0000","0.0000","85.1240","0.0000","0.0000","0.0000","0.0000"
"Precinct","48","54-48","476","48.1294","0.0000","0.0000","15.9664","0.0000","0.0000","0.0000","0.0000","0.0000","84.0336","0.0000","0.0000","0.0000","0.0000"
"Precinct","49","54-49","234","50.0000","0.0000","0.0000","7.2650","0.0000","0.4274","0.0000","0.0000","0.0000","92.3077","0.0000","0.0000","0.0000","0.0000"
"Precinct","50","54-50","316","36.0319","0.0000","0.0000","18.0380","0.3165","0.0000","0.0000","0.3165","0.0000","81.3291","0.0000","0.0000","0.0000","0.0000"
"Tbilisi District","9","Nadzaladevi","39225","27.9261","17.2645","0.0000","15.1077","0.0510","0.0841","0.1173","0.3391","3.1434","39.4825","12.9458","11.4646","0.0000","0.0000"
"Tbilisi Precinct","1","9-1","414","31.8462","6.5217","0.0000","24.8792","0.0000","0.0000","0.0000","0.0000","1.2077","53.3816","4.8309","9.1787","0.0000","0.0000"
"Tbilisi Precinct","2","9-2","378","30.7317","7.9365","0.0000","15.3439","0.2646","0.0000","0.0000","0.0000","2.9101","59.2593","7.9365","6.3492","0.0000","0.0000"
"Tbilisi Precinct","3","9-3","422","28.0959","10.4265","0.0000","13.0332","0.0000","0.0000","0.2370","0.4739","3.7915","52.3697","11.3744","8.2938","0.0000","0.0000"
"Tbilisi Precinct","4","9-4","507","36.5011","13.4122","0.0000","9.8619","0.0000","0.0000","0.0000","0.3945","3.5503","56.0158","8.6785","8.0868","0.0000","0.0000"
"Tbilisi Precinct","5","9-5","422","33.4125","19.9052","0.0000","13.2701","0.0000","0.0000","0.0000","0.2370","1.4218","39.3365","17.2986","8.5308","0.0000","0.0000"
"Tbilisi Precinct","6","9-6","446","33.2340","9.8655","0.0000","12.1076","0.0000","0.0000","0.0000","0.2242","2.2422","46.6368","16.3677","12.5561","0.0000","0.0000"
"Tbilisi Precinct","7","9-7","316","21.4092","10.1266","0.0000","20.5696","0.0000","0.9494","0.0000","0.3165","2.5316","49.3671","6.9620","9.1772","0.0000","0.0000"
"Tbilisi Precinct","8","9-8","347","24.3509","12.9683","0.0000","10.3746","0.0000","0.0000","0.0000","0.0000","1.7291","49.2795","12.1037","13.5447","0.0000","0.0000"
"Tbilisi Precinct","9","9-9","321","26.6169","21.1838","0.0000","17.4455","0.3115","0.0000","0.6231","2.4922","3.1153","41.1215","7.1651","6.5421","0.0000","0.0000"
"Tbilisi Precinct","10","9-10","322","28.3201","18.0124","0.0000","9.3168","0.0000","0.0000","0.3106","0.6211","1.8634","50.9317","10.8696","8.0745","0.0000","0.0000"
"Tbilisi Precinct","11","9-11","467","31.4055","19.7002","0.0000","8.7794","0.0000","0.4283","0.0000","5.5675","4.0685","38.5439","14.3469","8.5653","0.0000","0.0000"
"Tbilisi Precinct","12","9-12","436","30.6610","25.4587","0.0000","9.4037","0.2294","0.2294","0.0000","2.5229","1.8349","30.0459","22.2477","8.0275","0.0000","0.0000"
"Tbilisi Precinct","13","9-13","432","30.3797","17.3611","0.0000","21.2963","0.0000","0.2315","0.0000","0.0000","2.3148","30.0926","11.1111","17.5926","0.0000","0.0000"
"Tbilisi Precinct","14","9-14","516","34.5613","15.5039","0.0000","29.2636","0.1938","0.1938","0.0000","0.1938","1.3566","32.3643","10.4651","10.4651","0.0000","0.0000"
"Tbilisi Precinct","15","9-15","478","32.3191","19.6653","0.0000","20.9205","0.0000","0.0000","0.2092","0.0000","2.3013","33.2636","12.3431","11.2971","0.0000","0.0000"
"Tbilisi Precinct","16","9-16","422","29.1638","19.4313","0.0000","19.6682","0.0000","0.0000","0.0000","0.2370","1.1848","38.3886","12.0853","9.0047","0.0000","0.0000"
"Tbilisi Precinct","17","9-17","489","33.8877","33.1288","0.0000","10.6339","0.0000","0.0000","0.0000","0.2045","2.2495","32.7198","11.4519","9.6115","0.0000","0.0000"
"Tbilisi Precinct","18","9-18","526","36.3260","25.6654","0.0000","15.9696","0.0000","0.0000","0.0000","0.3802","2.6616","39.3536","14.0684","1.9011","0.0000","0.0000"
"Tbilisi Precinct","19","9-19","493","34.6939","32.0487","0.0000","15.0101","0.0000","0.0000","0.0000","0.2028","2.6369","31.2373","15.4158","3.4483","0.0000","0.0000"
"Tbilisi Precinct","20","9-20","474","33.1469","19.6203","0.0000","13.7131","0.0000","0.2110","0.0000","0.0000","5.0633","42.4051","13.7131","5.2743","0.0000","0.0000"
"Tbilisi Precinct","21","9-21","516","39.3893","20.5426","0.0000","21.7054","0.0000","0.0000","0.1938","0.0000","3.8760","34.1085","15.5039","4.0698","0.0000","0.0000"
"Tbilisi Precinct","22","9-22","485","33.4483","16.0825","0.0000","13.4021","0.0000","0.0000","0.0000","0.2062","2.0619","31.7526","19.1753","17.3196","0.0000","0.0000"
"Tbilisi Precinct","23","9-23","503","34.2877","21.4712","0.0000","10.3380","0.1988","0.1988","0.5964","0.1988","1.1928","29.8211","14.5129","21.4712","0.0000","0.0000"
"Tbilisi Precinct","24","9-24","515","35.1057","20.1942","0.0000","15.7282","0.0000","0.0000","0.3883","0.1942","2.5243","26.7961","20.9709","13.2039","0.0000","0.0000"
"Tbilisi Precinct","25","9-25","443","29.6917","17.3815","0.0000","11.5124","0.0000","0.0000","0.4515","0.2257","2.7088","32.7314","9.2551","25.7336","0.0000","0.0000"
"Tbilisi Precinct","26","9-26","441","30.0204","19.9546","0.0000","8.8435","0.0000","0.2268","0.0000","0.4535","3.1746","43.5374","9.0703","14.7392","0.0000","0.0000"
"Tbilisi Precinct","27","9-27","496","32.6101","25.6048","0.0000","15.1210","0.0000","0.0000","0.4032","1.8145","2.2177","34.8790","11.2903","8.6694","0.0000","0.0000"
"Tbilisi Precinct","28","9-28","349","26.2209","15.1862","0.0000","4.8711","0.0000","0.0000","0.0000","0.0000","3.4384","38.3954","6.0172","32.0917","0.0000","0.0000"
"Tbilisi Precinct","29","9-29","429","31.8722","28.2051","0.0000","10.7226","0.0000","0.0000","0.2331","0.2331","3.2634","34.7319","11.1888","11.4219","0.0000","0.0000"
"Tbilisi Precinct","30","9-30","329","23.8061","17.3252","0.0000","15.5015","0.0000","0.0000","0.0000","0.0000","6.0790","36.1702","13.9818","10.9422","0.0000","0.0000"
"Tbilisi Precinct","31","9-31","349","22.3003","15.4728","0.0000","21.4900","0.0000","0.0000","0.0000","0.0000","4.2980","32.9513","14.3266","11.4613","0.0000","0.0000"
"Tbilisi Precinct","32","9-32","376","25.1001","13.0319","0.0000","16.4894","0.2660","0.0000","0.0000","0.0000","5.8511","40.4255","9.3085","14.6277","0.0000","0.0000"
"Tbilisi Precinct","33","9-33","483","31.1814","12.8364","0.0000","10.9731","0.0000","0.2070","0.2070","0.6211","4.3478","46.7909","12.2153","11.8012","0.0000","0.0000"
"Tbilisi Precinct","34","9-34","482","32.3273","21.3693","0.0000","12.8631","0.2075","0.2075","0.4149","0.6224","3.3195","34.2324","12.4481","14.3154","0.0000","0.0000"
"Tbilisi Precinct","35","9-35","409","30.0073","27.8729","0.0000","8.3130","0.0000","0.0000","0.0000","0.2445","4.4010","38.1418","13.2029","7.8240","0.0000","0.0000"
"Tbilisi Precinct","36","9-36","461","30.5500","18.2213","0.0000","6.2907","0.2169","0.0000","0.0000","0.2169","5.8568","34.9241","17.5705","16.7028","0.0000","0.0000"
"Tbilisi Precinct","37","9-37","442","28.3879","16.0633","0.0000","14.4796","0.0000","0.0000","0.0000","0.4525","3.3937","42.9864","16.9683","5.6561","0.0000","0.0000"
"Tbilisi Precinct","38","9-38","334","22.7986","18.2635","0.0000","9.5808","0.0000","0.0000","0.0000","0.0000","3.8922","52.0958","8.9820","7.1856","0.0000","0.0000"
"Tbilisi Precinct","39","9-39","402","27.0161","15.1741","0.0000","8.2090","0.2488","0.0000","0.0000","0.0000","3.2338","45.7711","12.9353","14.4279","0.0000","0.0000"
"Tbilisi Precinct","40","9-40","342","22.4409","12.2807","0.0000","14.6199","0.0000","0.0000","0.0000","0.0000","2.6316","57.3099","7.6023","5.5556","0.0000","0.0000"
"Tbilisi Precinct","41","9-41","423","27.9208","17.0213","0.0000","11.3475","0.4728","0.0000","0.2364","0.2364","2.1277","52.4823","14.4208","1.6548","0.0000","0.0000"
"Tbilisi Precinct","42","9-42","440","30.7908","12.2727","0.0000","23.6364","0.0000","0.0000","0.0000","0.2273","3.1818","49.0909","9.7727","1.8182","0.0000","0.0000"
"Tbilisi Precinct","43","9-43","443","29.7315","18.9616","0.0000","19.4131","0.0000","0.0000","0.2257","0.4515","3.8375","39.7291","11.7381","5.6433","0.0000","0.0000"
"Tbilisi Precinct","44","9-44","418","27.8481","11.4833","0.0000","18.8995","0.0000","0.0000","0.0000","0.0000","2.6316","46.4115","11.0048","9.5694","0.0000","0.0000"
"Tbilisi Precinct","45","9-45","484","31.4490","16.5289","0.0000","15.9091","0.2066","0.0000","0.0000","0.0000","4.9587","48.3471","11.1570","2.8926","0.0000","0.0000"
"Tbilisi Precinct","46","9-46","452","31.4763","22.1239","0.0000","25.0000","0.2212","0.2212","0.0000","0.2212","4.6460","33.1858","11.0619","3.3186","0.0000","0.0000"
"Tbilisi Precinct","47","9-47","420","29.1869","20.0000","0.0000","18.3333","0.0000","0.0000","0.0000","0.0000","3.5714","36.1905","18.0952","3.8095","0.0000","0.0000"
"Tbilisi Precinct","48","9-48","476","33.3333","18.6975","0.0000","11.7647","0.0000","0.0000","0.0000","0.2101","3.9916","42.0168","19.3277","3.9916","0.0000","0.0000"
"Tbilisi Precinct","49","9-49","378","29.7872","19.5767","0.0000","17.1958","0.0000","0.0000","0.0000","0.0000","5.0265","38.0952","16.1376","3.9683","0.0000","0.0000"
"Tbilisi Precinct","50","9-50","406","27.1754","22.1675","0.0000","18.7192","0.0000","0.0000","0.2463","0.4926","2.7094","33.9901","13.5468","8.1281","0.0000","0.0000"
"Tbilisi Precinct","51","9-51","517","34.6051","19.7292","0.0000","21.4700","0.0000","0.0000","0.0000","0.0000","2.9014","42.5532","9.0909","4.2553","0.0000","0.0000"
"Tbilisi Precinct","52","9-52","442","29.6048","19.4570","0.0000","10.8597","0.0000","0.2262","0.0000","0.0000","2.7149","44.7964","14.2534","7.6923","0.0000","0.0000"
"Tbilisi Precinct","53","9-53","386","27.7898","18.3938","0.0000","11.6580","0.0000","0.2591","0.0000","0.5181","2.8497","42.7461","19.9482","3.6269","0.0000","0.0000"
"Tbilisi Precinct","54","9-54","379","29.2890","14.5119","0.0000","17.4142","0.0000","0.2639","0.2639","0.5277","3.1662","43.0079","18.4697","2.3747","0.0000","0.0000"
