region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,80,4,478,2,500,,,347,,5,0,165,0,27,3,7,140
,,80,5,284,3,300,,,225,,4,0,110,2,5,4,3,97
,,80,6,426,1,450,,,260,,3,0,110,4,12,3,4,124
,,80,7,332,1,350,,,240,,3,0,100,0,21,0,1,115
,,80,8,287,2,300,,,212,,8,0,103,0,8,1,1,91
,,80,9,307,1,300,,,206,,14,0,110,0,10,0,2,70
,,80,10,621,1,550,,,419,,9,2,198,5,17,7,2,179
,,80,11,355,4,350,,,296,,12,1,99,0,8,14,2,160
,,80,12,411,2,450,,,317,,21,1,132,4,17,1,5,136
,,80,13,469,2,450,,,332,,8,1,115,7,22,0,3,176
,,80,14,675,3,600,,,491,,13,0,193,4,17,8,10,246
,,80,15,566,1,500,,,375,,19,13,149,4,19,8,1,162
,,80,16,756,1,700,,,531,,24,2,145,1,30,6,4,319
,,80,17,540,3,500,,,398,,12,2,140,0,19,6,4,215
,,80,18,900,2,850,,,658,,18,1,394,1,25,2,4,213
,,80,19,178,4,200,,,140,,1,0,98,1,2,1,1,36
,,80,20,498,2,500,,,377,,14,0,236,2,8,0,5,112
,,80,21,275,0,300,,,223,,2,0,135,1,4,0,5,76
,,80,22,517,1,500,,,387,,18,1,182,0,13,5,4,164
,,80,23,428,3,450,,,319,,5,2,138,2,17,1,3,151
,,80,24,242,2,250,,,175,,0,1,103,0,2,4,3,62
,,80,25,522,0,500,,,382,,4,0,186,0,13,0,4,175
,,80,26,547,2,500,,,387,,14,0,124,0,13,5,3,228
,,80,27,559,3,500,,,362,,6,0,181,2,7,2,4,160
,,80,28,388,4,400,,,305,,3,0,160,3,13,5,4,117
,,80,29,910,3,850,,,575,,12,1,264,1,17,3,6,271
,,80,30,321,7,350,,,221,,9,1,126,0,5,2,4,74
,,80,31,518,0,500,,,349,,6,0,165,3,20,8,6,141
,,81,1,762,6,650,,,461,,12,1,171,2,9,2,4,258
,,81,2,1100,8,950,,,592,,11,1,172,1,15,3,5,382
,,81,3,1041,9,900,,,570,,29,0,154,0,10,1,5,371
,,81,4,1043,6,900,,,688,,31,4,129,0,9,2,6,507
,,81,5,1148,10,1050,,,695,,14,2,215,5,12,2,3,441
,,81,6,705,7,650,,,484,,9,1,136,0,8,0,2,328
,,81,7,1220,7,1100,,,727,,14,5,161,0,7,1,8,530
,,81,8,810,2,700,,,477,,12,2,121,0,2,0,4,336
,,81,9,1300,4,1200,,,877,,22,2,213,0,3,0,5,629
,,81,10,1386,7,1300,,,932,,28,2,270,2,18,1,3,608
,,81,11,1183,3,1050,,,638,,27,2,384,1,25,0,9,190
,,81,12,1497,2,1400,,,914,,18,0,547,3,25,13,12,296
,,81,13,970,1,800,,,575,,20,1,176,2,31,0,9,336
,,81,14,1271,2,1100,,,689,,17,1,272,0,27,1,14,355
,,81,15,1534,8,1350,,,779,,18,3,260,4,25,2,9,448
,,81,16,312,9,300,,,166,,7,1,59,1,3,2,1,90
,,81,17,1323,3,1200,,,747,,15,0,344,0,26,6,9,347
,,81,18,691,2,650,,,489,,9,0,224,3,16,0,9,228
,,81,19,1321,2,1250,,,877,,13,5,256,1,13,1,4,582
,,81,20,1121,2,1050,,,770,,18,1,366,2,19,3,9,352
,,81,21,1538,2,1400,,,802,,17,2,261,6,30,4,18,464
,,81,22,1208,6,1050,,,672,,19,1,247,2,13,0,7,383
,,81,23,1347,3,1250,,,921,,21,5,439,0,16,1,9,430
,,81,24,1363,6,950,,,583,,20,4,294,0,20,1,7,236
,,81,25,723,1,700,,,506,,11,2,231,2,21,0,7,232
,,81,26,1273,5,1200,,,680,,18,1,244,0,9,2,11,393
,,81,27,1504,2,1350,,,738,,44,1,308,3,13,1,11,357
,,81,28,578,4,500,,,283,,5,1,151,0,12,0,3,111
,,81,29,1586,9,1500,,,905,,23,5,408,2,12,2,17,436
,,81,30,1474,2,1350,,,692,,26,4,265,4,7,2,7,377
,,81,31,1061,9,1000,,,676,,21,0,284,2,4,0,8,357
,,81,32,1166,4,1100,,,813,,14,0,333,2,13,2,9,424
,,81,33,671,2,600,,,449,,66,1,215,0,13,1,5,146
,,81,34,1168,9,850,,,506,,12,0,260,1,8,1,11,213
,,81,35,934,3,850,,,548,,18,0,184,2,11,2,11,320
,,81,36,1244,3,1150,,,754,,20,2,346,1,28,1,23,333
,,81,37,212,4,250,,,154,,2,0,82,0,3,0,1,66
,,81,38,1217,3,1150,,,774,,20,0,191,0,8,0,6,548
,,81,39,521,3,500,,,355,,5,0,122,0,7,0,7,213
,,81,40,565,3,500,,,389,,5,2,96,0,20,0,4,262
,,81,41,1335,5,1200,,,765,,32,0,390,0,19,0,9,314
,,81,42,1270,4,1100,,,677,,35,0,206,0,37,0,12,387
,,81,43,1497,6,1400,,,863,,24,2,320,3,10,2,15,484
,,81,44,1540,5,1450,,,810,,22,1,339,5,22,0,8,411
,,81,45,772,1,700,,,458,,20,0,203,0,11,6,6,212
,,81,46,1567,0,1450,,,982,,4,0,404,4,11,0,11,548
,,81,47,1141,3,1050,,,694,,12,1,235,2,23,7,5,409
,,81,48,1254,8,1150,,,703,,15,1,196,1,19,5,6,456
,,81,49,836,3,750,,,506,,9,1,145,0,10,9,10,321
,,81,50,1106,3,1000,,,626,,18,0,194,2,14,3,4,391
,,81,51,742,8,650,,,448,,5,0,94,0,4,6,7,332
,,81,52,848,11,700,,,476,,19,1,163,3,9,1,5,273
,,81,53,984,10,850,,,558,,16,2,150,1,2,0,12,375
,,81,54,1289,10,1150,,,736,,21,5,213,2,3,1,10,481
,,81,55,721,6,650,,,415,,23,0,119,2,5,2,5,259
,,81,56,971,1,900,,,610,,30,0,403,0,26,0,8,143
,,81,57,731,5,650,,,424,,16,0,203,1,7,0,1,196
,,81,58,987,4,1050,,,583,,33,5,299,0,21,0,15,210
,,81,59,1404,3,1300,,,897,,19,2,289,0,12,1,15,557
,,81,60,807,3,700,,,552,,17,1,123,1,13,1,8,388
,,81,61,1137,5,750,,,496,,15,0,246,0,50,0,5,179
,,81,62,734,4,650,,,453,,11,0,161,0,3,1,5,272
,,81,63,789,14,700,,,441,,19,1,148,0,11,2,4,254
,,81,64,747,8,650,,,435,,31,0,222,0,17,0,5,160
,,81,65,939,13,850,,,114,,2,0,48,0,1,0,3,59
,,82,1,686,16,650,,,450,,17,0,236,0,19,2,10,166
,,82,2,229,6,250,,,127,,2,1,62,1,9,0,9,43
,,82,3,333,4,350,,,220,,6,0,124,0,13,1,2,74
,,82,4,471,5,500,,,276,,13,1,151,0,13,3,15,77
,,82,5,475,0,500,,,293,,14,0,178,1,19,0,7,74
,,82,6,382,2,400,,,198,,7,0,128,0,10,4,3,46
,,82,7,171,2,200,,,104,,2,0,77,0,6,0,2,17
,,82,8,120,4,150,,,82,,2,0,56,0,8,2,1,13
,,82,9,342,0,350,,,218,,3,1,119,2,18,4,3,68
,,82,10,356,0,350,,,247,,8,0,122,0,19,0,5,93
,,82,11,138,2,150,,,99,,9,0,45,1,4,0,0,40
,,82,12,214,2,250,,,163,,1,0,104,0,11,1,5,41
,,82,13,163,2,200,,,118,,3,0,74,0,6,0,3,32
,,82,14,615,3,550,,,378,,6,2,279,0,12,3,4,72
,,82,15,708,3,650,,,416,,26,0,234,2,14,6,7,126
,,82,16,656,2,600,,,413,,13,0,243,0,16,3,2,136
,,82,17,382,4,400,,,239,,5,1,174,1,10,2,4,42
,,82,18,201,3,200,,,145,,0,0,91,0,10,6,2,36
,,82,19,88,1,100,,,77,,3,1,42,0,17,0,0,14
,,82,20,367,2,350,,,226,,4,0,135,6,35,1,2,43
,,82,21,243,2,250,,,179,,1,0,132,1,10,2,5,28
,,82,22,134,3,150,,,105,,3,0,76,0,9,2,3,11
,,82,23,510,2,500,,,333,,12,4,148,3,13,1,6,146
,,82,24,216,2,250,,,146,,1,1,90,0,9,1,3,41
,,82,25,269,3,300,,,200,,8,8,114,1,21,0,3,45
,,82,26,234,2,250,,,147,,5,1,100,0,18,0,1,22
,,82,27,278,34,300,,,217,,5,0,163,1,8,1,2,37
,,82,28,510,3,500,,,330,,16,3,128,5,31,5,1,141
,,82,29,271,1,300,,,191,,5,1,130,0,12,0,2,41
,,82,30,221,29,250,,,161,,4,1,107,0,15,0,1,33
,,82,31,319,2,300,,,219,,16,0,141,1,14,0,5,42
,,82,32,198,0,200,,,126,,3,0,86,0,10,0,0,27
,,82,33,147,0,150,,,77,,5,0,29,0,8,0,3,32
,,82,34,264,1,300,,,165,,4,1,105,0,13,0,1,39
,,82,35,192,5,200,,,118,,1,1,70,1,11,4,0,30
,,82,36,323,1,350,,,176,,13,0,99,0,10,2,3,48
,,82,37,259,2,300,,,166,,1,0,128,0,3,2,0,32
,,82,38,429,2,450,,,256,,11,0,154,0,10,2,6,73
,,82,39,463,1,450,,,286,,7,0,164,1,25,0,3,86
,,82,40,258,2,300,,,154,,4,1,75,0,4,2,3,65
,,82,41,382,2,400,,,253,,0,0,224,0,2,0,1,26
,,82,42,365,1,400,,,213,,7,3,138,1,18,3,3,40
,,82,43,406,5,400,,,276,,5,1,110,1,22,3,6,128
,,82,44,141,0,150,,,113,,1,0,59,0,10,0,2,41
,,82,45,223,4,250,,,161,,11,1,87,0,24,4,1,33
,,82,46,292,4,300,,,172,,7,0,75,0,6,3,2,79
,,82,47,198,2,200,,,147,,5,0,103,0,10,1,5,22
,,82,48,220,3,250,,,146,,1,0,83,3,9,3,1,46
,,82,49,95,1,100,,,68,,0,0,49,1,10,1,1,6
,,83,1,1448,10,1350,,,861,,20,2,198,1,6,2,7,624
,,83,2,1360,6,1300,,,840,,12,0,265,4,20,2,11,486
,,83,3,1412,9,1300,,,898,,26,4,213,4,12,3,9,627
,,83,4,893,5,800,,,463,,5,2,88,0,22,2,4,336
,,83,5,1557,2,1450,,,898,,28,5,200,4,10,7,4,636
,,83,6,759,10,700,,,501,,22,1,139,3,11,1,11,313
,,83,7,720,7,650,,,457,,14,1,136,1,5,2,7,291
,,83,8,1159,5,1050,,,659,,17,11,173,3,15,4,6,439
,,83,9,1212,6,1100,,,409,,11,0,138,0,14,0,3,243
,,83,10,999,6,900,,,611,,12,0,161,1,26,1,1,404
,,83,11,586,10,550,,,376,,6,0,101,0,8,0,2,259
,,83,12,1395,8,1300,,,760,,10,4,179,1,12,0,6,550
,,83,13,1351,9,1250,,,736,,74,15,147,1,17,0,2,480
,,83,14,1049,2,1000,,,588,,16,2,179,2,17,2,5,365
,,83,15,1427,4,1250,,,815,,15,0,320,4,25,4,24,417
,,83,16,1277,3,1200,,,751,,21,11,238,4,12,5,5,455
,,83,17,1545,6,1450,,,896,,23,4,279,1,15,1,7,565
,,83,18,1608,7,1500,,,936,,24,2,221,2,24,4,11,648
,,83,19,1151,10,1050,,,564,,17,1,156,0,6,1,6,376
,,83,20,1507,8,1400,,,877,,35,1,267,1,19,3,13,536
,,83,21,1450,6,1350,,,836,,23,2,217,6,19,0,8,561
,,83,22,1320,2,1250,,,805,,21,1,202,0,22,12,9,538
,,83,23,856,9,800,,,558,,10,1,118,0,24,4,5,393
,,83,24,1494,6,1350,,,839,,22,2,179,1,17,3,8,607
,,83,25,612,10,550,,,373,,7,2,66,1,7,2,7,279
,,83,26,540,10,500,,,259,,2,0,73,0,5,3,6,170
,,83,27,698,41,700,,,566,,8,3,304,2,18,0,5,225
,,83,28,1124,11,1050,,,708,,10,1,292,5,36,4,11,349
,,83,29,1253,6,1150,,,851,,23,1,310,2,29,5,8,472
,,83,30,1425,8,1350,,,913,,7,3,206,2,15,9,18,653
,,83,31,1111,7,1050,,,732,,22,3,236,1,12,3,13,439
,,83,32,977,9,900,,,564,,14,1,161,0,24,1,9,353
,,83,33,1493,3,1400,,,1018,,25,2,342,4,36,10,20,579
,,83,34,863,5,800,,,567,,29,0,187,4,37,0,7,303
,,83,35,1466,6,1400,,,806,,25,1,214,2,32,9,15,507
,,83,36,683,4,650,,,441,,6,0,184,1,30,0,5,215
,,83,37,1284,3,1200,,,908,,0,0,258,2,46,3,8,591
,,83,38,567,2,500,,,380,,15,1,137,0,16,0,4,207
,,83,39,557,1,500,,,337,,10,0,121,0,25,2,3,176
,,83,40,324,3,350,,,240,,0,0,104,0,6,0,4,123
,,83,41,476,2,500,,,321,,3,0,127,3,8,4,6,170
,,83,42,310,31,350,,,246,,4,0,114,1,4,0,1,121
,,83,43,789,40,800,,,541,,10,0,293,0,20,6,10,200
,,83,44,510,0,500,,,371,,7,2,112,4,16,9,4,217
,,84,1,831,6,750,,,556,,14,1,341,0,13,4,4,179
,,84,2,545,2,500,,,344,,9,0,245,4,2,5,4,75
,,84,3,377,1,400,,,210,,5,1,106,1,8,1,1,87
,,84,4,894,1,850,,,497,,9,0,224,4,8,16,2,234
,,84,5,547,3,500,,,308,,3,0,227,1,14,0,1,62
,,84,6,384,1,400,,,243,,7,1,142,1,9,4,3,76
,,84,7,624,3,600,,,349,,6,3,164,2,35,1,7,131
,,84,8,460,2,450,,,301,,5,0,195,1,13,4,1,82
,,84,9,682,1,650,,,391,,11,3,180,0,17,6,12,162
,,84,10,473,5,450,,,306,,8,0,190,0,13,5,6,84
,,84,11,655,3,600,,,333,,9,1,171,1,19,0,1,131
,,84,12,1054,1,1000,,,571,,14,2,233,0,10,3,16,293
,,84,13,395,4,400,,,269,,10,0,103,0,8,0,1,147
,,84,14,541,0,500,,,340,,9,1,166,1,4,1,1,157
,,84,15,322,2,350,,,199,,7,1,124,0,5,1,3,58
,,84,16,374,3,400,,,235,,10,0,181,0,4,0,5,35
