region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,9 - Self-governance to People,11 - Reformers,13 - Future Georgia,14 - Georgian Party,16 - Christian Democrats,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,41 - Georgian Dream
,12,,34,,825,1,184,442,550,800,19,,,,,,,,,,14,243,,,,,,,,,5,,,,270
,12,,35,,1089,0,256,560,671,1050,23,,,,,,,,,,91,158,,,,,,,,,12,,,,387
,12,,36,,1282,3,279,552,724,1200,73,,,,,,,,,,105,84,,,,,,,,,21,,,,441
,12,,37,,783,4,184,415,495,750,36,,,,,,,,,,76,41,,,,,,,,,20,,,,322
,12,,38,,649,2,177,341,386,600,14,,,,,,,,,,34,20,,,,,,,,,2,,,,315
,12,,39,,1225,2,222,475,679,1150,71,,,,,,,,,,116,60,,,,,,,,,9,,,,422
,12,,40,,480,1,145,242,355,500,9,,,,,,,,,,21,155,,,,,,,,,5,,,,165
,12,,41,,1139,2,211,509,651,1100,16,,,,,,,,,,47,94,,,,,,,,,74,,,,420
,12,,42,,419,2,90,179,221,450,5,,,,,,,,,,12,24,,,,,,,,,14,,,,166
,12,,43,,1395,4,185,408,560,1350,16,,,,,,,,,,150,136,,,,,,,,,7,,,,250
,12,,44,,396,1,60,164,215,400,3,,,,,,,,,,20,35,,,,,,,,,3,,,,154
,12,,45,,912,6,142,317,481,850,22,,,,,,,,,,100,98,,,,,,,,,8,,,,251
,12,,46,,982,6,149,298,442,900,22,,,,,,,,,,47,138,,,,,,,,,9,,,,225
,12,,47,,987,7,135,259,374,900,11,,,,,,,,,,55,94,,,,,,,,,6,,,,208
,12,,48,,974,4,164,355,526,900,17,,,,,,,,,,25,154,,,,,,,,,13,,,,317
,12,,49,,1140,6,120,292,463,1100,26,,,,,,,,,,43,129,,,,,,,,,6,,,,258
,12,,50,,298,11,74,163,204,300,17,,,,,,,,,,14,21,,,,,,,,,1,,,,151
,12,,51,,62,4,27,38,40,100,1,,,,,,,,,,2,4,,,,,,,,,1,,,,32
,13,,1,,836,6,170,380,453,800,22,,,,,,,,15,,88,58,,,,,,,,,,,,14,255
,13,,2,,26,12,9,17,19,50,1,,,,,,,,0,,3,1,,,,,,,,,,,,0,14
,13,,3,,980,5,136,291,418,950,8,,,,,,,,36,,30,124,,,,,,,,,,,,11,208
,13,,4,,1142,4,177,334,452,1100,19,,,,,,,,38,,40,89,,,,,,,,,,,,15,250
,13,,5,,872,8,197,373,519,850,24,,,,,,,,5,,58,75,,,,,,,,,,,,14,340
,13,,6,,610,4,83,160,206,550,5,,,,,,,,8,,17,42,,,,,,,,,,,,11,123
,13,,7,,1321,7,120,275,407,1250,17,,,,,,,,6,,43,68,,,,,,,,,,,,33,240
,13,,8,,1361,4,140,360,549,1300,18,,,,,,,,7,,21,93,,,,,,,,,,,,78,330
,13,,9,,1319,6,232,410,519,1250,20,,,,,,,,7,,24,166,,,,,,,,,,,,8,294
,13,,10,,1319,6,178,441,624,1250,40,,,,,,,,7,,35,112,,,,,,,,,,,,62,366
,13,,11,,1308,11,172,394,528,1250,16,,,,,,,,17,,47,130,,,,,,,,,,,,28,290
,13,,12,,1403,5,165,354,527,1350,25,,,,,,,,11,,52,56,,,,,,,,,,,,22,361
,13,,13,,1407,6,217,365,485,1350,21,,,,,,,,7,,37,79,,,,,,,,,,,,14,327
,13,,14,,1155,6,194,426,587,1100,24,,,,,,,,5,,17,162,,,,,,,,,,,,21,356
,13,,15,,1004,5,194,388,539,950,15,,,,,,,,13,,16,173,,,,,,,,,,,,24,298
,13,,16,,228,35,57,111,160,250,2,,,,,,,,1,,2,37,,,,,,,,,,,,5,88
,13,,17,,940,8,173,352,502,900,26,,,,,,,,3,,20,56,,,,,,,,,,,,12,385
