"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Georgian Party","Way of Georgia","Georgian Dream"
"Precinct","18","16-18","451","58.4955",\N,\N,\N,\N,"1.3129",\N,\N,\N,"0",\N,\N,\N,"0","0.7375","0.6433","0.4833",\N,\N,\N,\N,\N,\N,"0.0000","34.8115","0.0000","0.0000","0.0000","0.0000","65.1885"
"Precinct","19","16-19","538","37.2576",\N,\N,\N,\N,"2.7125",\N,\N,\N,"0",\N,\N,\N,"0","0.7125","0.6733","1.0000",\N,\N,\N,\N,\N,\N,"0.0000","12.4535","0.0000","0.0000","0.0000","0.0000","87.5465"
"Precinct","20","16-20","456","38.1910",\N,\N,\N,\N,"1.7241",\N,\N,\N,"0",\N,\N,\N,"0","0.6042","0.6067","0.7611",\N,\N,\N,\N,\N,\N,"0.0000","15.7895","0.0000","0.0000","0.0000","0.0000","84.2105"
"Precinct","21","16-21","430","29.3716",\N,\N,\N,\N,"1.3761",\N,\N,\N,"0",\N,\N,\N,"0","0.6667","0.5700","0.5833",\N,\N,\N,\N,\N,\N,"0.0000","12.0930","0.0000","0.0000","0.0000","0.0000","87.9070"
"Precinct","22","16-22","345","29.3617",\N,\N,\N,\N,"2.2663",\N,\N,\N,"0",\N,\N,\N,"0","0.4667","0.3667","0.7278",\N,\N,\N,\N,\N,\N,"0.0000","14.2029","0.0000","0.0000","0.0000","0.0000","85.7971"
"Precinct","23","16-23","402","30.9946",\N,\N,\N,\N,"0.9852",\N,\N,\N,"0",\N,\N,\N,"0","0.5833","0.6000","0.4778",\N,\N,\N,\N,\N,\N,"0.0000","13.6816","0.0000","0.0000","0.0000","0.0000","86.3184"
"Precinct","24","16-24","641","47.0631",\N,\N,\N,\N,"2.2866",\N,\N,\N,"0",\N,\N,\N,"0","1.0125","0.6933","1.1389",\N,\N,\N,\N,\N,\N,"0.0000","32.2933","0.0000","0.0000","0.0000","0.0000","67.7067"
"Precinct","25","16-25","536","44.8161",\N,\N,\N,\N,"2.8986",\N,\N,\N,"0",\N,\N,\N,"0","0.7375","0.7533","0.8278",\N,\N,\N,\N,\N,\N,"0.0000","19.4030","0.0000","0.0000","0.0000","0.0000","80.5970"
"Precinct","26","16-26","267","53.1873",\N,\N,\N,\N,"3.6101",\N,\N,\N,"0",\N,\N,\N,"0","0.5167","0.3200","0.3167",\N,\N,\N,\N,\N,\N,"0.0000","23.9700","0.0000","0.0000","0.0000","0.0000","76.0300"
"Precinct","27","16-27","401","52.4183",\N,\N,\N,\N,"1.9560",\N,\N,\N,"0",\N,\N,\N,"0","0.7250","0.4867","0.4944",\N,\N,\N,\N,\N,\N,"0.0000","24.1895","0.0000","0.0000","0.0000","0.0000","75.8105"
"Precinct","28","16-28","210","70.2341",\N,\N,\N,\N,"1.8692",\N,\N,\N,"0",\N,\N,\N,"0","0.3667","0.2800","0.2333",\N,\N,\N,\N,\N,\N,"0.0000","12.8571","0.0000","0.0000","0.0000","0.0000","87.1429"
"Precinct","29","16-29","480","36.7534",\N,\N,\N,\N,"2.2403",\N,\N,\N,"1",\N,\N,\N,"0","0.6542","0.6867","0.7111",\N,\N,\N,\N,\N,\N,"0.0000","20.6250","0.0000","0.0000","0.0000","0.0000","79.1667"
"Precinct","30","16-30","312","27.5862",\N,\N,\N,\N,"2.8037",\N,\N,\N,"0",\N,\N,\N,"0","0.4292","0.4733","0.4222",\N,\N,\N,\N,\N,\N,"0.0000","23.0769","0.0000","0.0000","0.0000","0.0000","76.9231"
"Precinct","14","17-14","353","40.6214",\N,\N,\N,\N,"1.6713",\N,\N,\N,"0",\N,\N,\N,"0","0.4708","0.4200","0.6667",\N,\N,\N,\N,\N,\N,"0.0000","39.9433","0.0000","0.0000","0.0000","0.0000","60.0567"
"Precinct","15","17-15","377","45.7524",\N,\N,\N,\N,"2.0779",\N,\N,\N,"2",\N,\N,\N,"0","0.3750","0.5400","0.7389",\N,\N,\N,\N,\N,\N,"0.0000","16.7109","0.0000","0.0000","0.0000","0.0000","82.7586"
"Precinct","16","17-16","526","50.6744",\N,\N,\N,\N,"1.6822",\N,\N,\N,"0",\N,\N,\N,"0","0.6500","0.6033","1.1000",\N,\N,\N,\N,\N,\N,"0.0000","24.3346","0.0000","0.0000","0.0000","0.0000","75.6654"
"Precinct","17","17-17","428","30.9696",\N,\N,\N,\N,"3.3860",\N,\N,\N,"0",\N,\N,\N,"0","0.4375","0.6267","0.8333",\N,\N,\N,\N,\N,\N,"0.0000","36.9159","0.0000","0.0000","0.0000","0.0000","63.0841"
"Precinct","18","17-18","312","29.6578",\N,\N,\N,\N,"2.1944",\N,\N,\N,"0",\N,\N,\N,"0","0.3750","0.4000","0.6056",\N,\N,\N,\N,\N,\N,"0.0000","34.9359","0.0000","0.0000","0.0000","0.0000","65.0641"
"Precinct","19","17-19","142","48.9655",\N,\N,\N,\N,"0.6993",\N,\N,\N,"0",\N,\N,\N,"0","0.2000","0.2067","0.1833",\N,\N,\N,\N,\N,\N,"0.0000","23.2394","0.0000","0.0000","0.0000","0.0000","76.7606"
"Precinct","20","17-20","395","48.1707",\N,\N,\N,\N,"9.4037",\N,\N,\N,"2",\N,\N,\N,"0","0.7042","0.5200","0.6167",\N,\N,\N,\N,\N,\N,"0.0000","35.1899","0.0000","0.0000","0.0000","0.0000","64.3038"
"Precinct","21","17-21","403","47.9191",\N,\N,\N,\N,"3.3573",\N,\N,\N,"0",\N,\N,\N,"0","0.5208","0.5700","0.6722",\N,\N,\N,\N,\N,\N,"0.0000","31.5136","0.0000","0.0000","0.0000","0.0000","68.4864"
"Precinct","22","17-22","231","51.1062",\N,\N,\N,\N,"1.2821",\N,\N,\N,"0",\N,\N,\N,"0","0.3458","0.2967","0.3444",\N,\N,\N,\N,\N,\N,"0.0000","28.5714","0.0000","0.0000","0.0000","0.0000","71.4286"
"Precinct","23","17-23","292","29.0258",\N,\N,\N,\N,"1.0169",\N,\N,\N,"1",\N,\N,\N,"0","0.2792","0.3567","0.6722",\N,\N,\N,\N,\N,\N,"0.0000","17.8082","0.0000","0.0000","0.0000","0.0000","81.8493"
"Precinct","24","17-24","240","26.4901",\N,\N,\N,\N,"4.0000",\N,\N,\N,"0",\N,\N,\N,"0","0.3250","0.3367","0.3944",\N,\N,\N,\N,\N,\N,"0.0000","24.5833","0.0000","0.0000","0.0000","0.0000","75.4167"
