region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,5,,43,,1467,9,150,260,314,1350,9,,,,,,,,,90,,,,,215
,5,,44,,1484,8,153,259,317,1350,5,,,,,,,,,94,,,,,218
,5,,45,,1447,6,133,217,267,1300,7,,,,,,,,,60,,,,,200
,5,,46,,1574,7,182,348,454,1450,8,,,,,,,,,108,,,,,338
,5,,47,,1391,6,202,375,456,1300,13,,,,,,,,,135,,,,,307
,5,,48,,1188,10,195,314,381,1100,17,,,,,,,,,84,,,,,280
,5,,49,,1218,5,155,256,298,1100,11,,,,,,,,,76,,,,,211
,5,,50,,1104,7,131,213,265,1000,5,,,,,,,,,95,,,,,165
,5,,51,,1516,10,155,307,391,1400,19,,,,,,,,,110,,,,,262
,5,,52,,1661,8,218,441,517,1500,15,,,,,,,,,170,,,,,332
,5,,53,,1463,5,168,305,373,1350,14,,,,,,,,,134,,,,,225
,5,,54,,1246,5,206,341,435,1150,19,,,,,,,,,110,,,,,306
,5,,55,,1308,7,208,378,450,1250,24,,,,,,,,,130,,,,,296
,5,,56,,1305,6,176,315,381,1200,16,,,,,,,,,83,,,,,282
,5,,57,,1184,4,198,308,377,1100,9,,,,,,,,,138,,,,,230
,5,,58,,1271,6,185,315,395,1150,8,,,,,,,,,137,,,,,250
,5,,59,,1327,9,203,342,410,1250,12,,,,,,,,,140,,,,,258
,5,,60,,1250,8,184,333,423,1150,15,,,,,,,,,123,,,,,285
,5,,61,,1234,9,180,321,392,1150,8,,,,,,,,,133,,,,,251
,5,,62,,1291,9,180,392,392,1200,12,,,,,,,,,112,,,,,268
,5,,63,,1322,6,228,385,486,1200,20,,,,,,,,,151,,,,,315
,5,,64,,1313,9,175,337,421,1200,13,,,,,,,,,105,,,,,303
,5,,65,,1239,8,150,244,324,1100,10,,,,,,,,,107,,,,,207
,5,,66,,1221,11,122,265,302,1100,5,,,,,,,,,89,,,,,208
,5,,67,,1309,7,190,292,382,1200,14,,,,,,,,,121,,,,,247
,5,,68,,1271,6,208,343,467,1200,17,,,,,,,,,145,,,,,305
,5,,69,,1199,6,175,332,402,1100,21,,,,,,,,,115,,,,,266
,5,,70,,1322,10,162,277,362,1200,10,,,,,,,,,89,,,,,263
,5,,71,,1197,9,161,280,377,1100,10,,,,,,,,,116,,,,,251
,5,,72,,1192,7,141,268,321,1050,18,,,,,,,,,100,,,,,203
,5,,73,,1162,10,159,272,323,1050,10,,,,,,,,,107,,,,,206
,5,,74,,1320,10,185,315,377,1200,9,,,,,,,,,85,,,,,283
,5,,75,,1237,6,171,295,366,1100,10,,,,,,,,,83,,,,,273
,5,,76,,1245,6,204,374,447,1150,10,,,,,,,,,175,,,,,262
,6,,1,,1212,4,131,262,324,1100,12,,,,,,,,,105,,,,,207
,6,,2,,1089,9,185,318,389,1000,14,,,,,,,,,106,,,,,269
,6,,3,,1259,8,201,351,418,1150,12,,,,,,,,,112,,,,,294
,6,,4,,948,6,155,237,294,850,11,,,,,,,,,88,,,,,195
,6,,5,,1013,9,192,318,364,950,11,,,,,,,,,89,,,,,264
,6,,6,,1113,7,189,327,401,1000,12,,,,,,,,,122,,,,,267
,6,,7,,889,9,171,267,314,800,9,,,,,,,,,70,,,,,235
,6,,8,,1165,9,193,332,404,1100,12,,,,,,,,,120,,,,,272
,6,,9,,1270,9,192,332,403,1200,20,,,,,,,,,76,,,,,307
,6,,10,,985,9,159,300,371,900,11,,,,,,,,,95,,,,,265
,6,,11,,932,7,150,241,307,850,11,,,,,,,,,77,,,,,219
,6,,12,,1180,10,180,303,365,1100,11,,,,,,,,,76,,,,,278
,6,,13,,1194,7,214,322,411,1100,14,,,,,,,,,131,,,,,266
,6,,14,,1112,6,178,300,362,1050,14,,,,,,,,,107,,,,,240
,6,,15,,1120,6,159,288,367,1050,15,,,,,,,,,98,,,,,254
,6,,16,,1331,8,201,362,470,1250,23,,,,,,,,,89,,,,,358
,6,,17,,1299,4,185,308,394,1200,14,,,,,,,,,122,,,,,258
,6,,18,,1182,4,156,265,328,1050,15,,,,,,,,,99,,,,,212
,6,,19,,1181,9,145,254,316,1050,10,,,,,,,,,98,,,,,208
,6,,20,,1253,8,209,386,472,1150,19,,,,,,,,,106,,,,,347
,6,,21,,1283,8,136,241,311,1200,17,,,,,,,,,81,,,,,213
,6,,22,,1296,7,196,327,413,1200,17,,,,,,,,,119,,,,,277
,6,,23,,1082,10,140,241,334,1000,15,,,,,,,,,120,,,,,199
,6,,24,,1115,2,145,266,362,1050,11,,,,,,,,,108,,,,,243
,6,,25,,1060,9,146,271,333,1000,8,,,,,,,,,101,,,,,224
,6,,26,,1285,9,180,308,394,1200,13,,,,,,,,,125,,,,,256
,6,,27,,1288,6,180,322,405,1200,9,,,,,,,,,111,,,,,285
,6,,28,,1229,11,164,278,349,1150,18,,,,,,,,,116,,,,,215
,6,,29,,1105,7,165,267,337,1000,11,,,,,,,,,87,,,,,239
,6,,30,,1323,8,148,268,313,1200,7,,,,,,,,,83,,,,,223
,6,,31,,1346,3,157,262,321,1250,11,,,,,,,,,75,,,,,235
,6,,32,,1148,9,140,255,328,1050,7,,,,,,,,,95,,,,,226
,6,,33,,954,9,116,234,298,900,9,,,,,,,,,90,,,,,199
,6,,34,,975,3,111,200,262,900,8,,,,,,,,,70,,,,,184
,6,,35,,1053,6,130,214,271,1000,6,,,,,,,,,76,,,,,189
,6,,36,,1085,8,122,232,292,1000,11,,,,,,,,,79,,,,,202
,6,,37,,1024,10,125,203,240,950,10,,,,,,,,,74,,,,,156
,6,,38,,1469,7,170,305,400,1350,17,,,,,,,,,99,,,,,284
,6,,39,,1128,8,202,345,446,1050,18,,,,,,,,,116,,,,,312
