"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts Reported (#)","Precincts Reported (%)","Free Georgia","United National Movement","Movement for Fair Georgia","Christian-Democratic Movement","New Rights","Labour","Georgian Dream"
"Precinct","18","83-18","908","56.4677",\N,\N,\N,\N,"2.9915",\N,\N,"0.5507","24.5595","0.3304","3.4141","0.3304","0.0000","70.7048"
"Precinct","19","83-19","540","46.9157",\N,\N,\N,\N,"4.2553",\N,\N,"0.5556","28.8889","0.1852","1.4815","0.1852","0.0000","68.1481"
"Precinct","20","83-20","832","55.2090",\N,\N,\N,\N,"5.1311",\N,\N,"0.3606","32.9327","0.1202","2.2837","0.4808","0.0000","63.5817"
"Precinct","21","83-21","819","56.4828",\N,\N,\N,\N,"2.0335",\N,\N,"0.3663","27.9609","0.8547","2.6862","0.2442","0.0000","67.8877"
"Precinct","22","83-22","784","59.3939",\N,\N,\N,\N,"2.6087",\N,\N,"0.2551","26.2755","0.3827","2.8061","1.6582","0.0000","68.3673"
"Precinct","23","83-23","542","63.3178",\N,\N,\N,\N,"2.8674",\N,\N,"0.1845","21.9557","0.3690","5.1661","0.9225","0.0000","70.8487"
"Precinct","24","83-24","809","54.1499",\N,\N,\N,\N,"3.5757",\N,\N,"0.3708","22.2497","0.1236","3.2138","0.7417","0.0000","72.9295"
"Precinct","25","83-25","366","59.8039",\N,\N,\N,\N,"1.8767",\N,\N,"1.0929","18.5792","0.0000","2.4590","0.5464","0.0000","76.2295"
"Precinct","26","83-26","255","47.2222",\N,\N,\N,\N,"1.5444",\N,\N,"0.3922","28.2353","0.3922","1.9608","1.1765","0.0000","65.8824"
"Precinct","27","83-27","553","79.2264",\N,\N,\N,\N,"2.2968",\N,\N,"0.7233","55.6962","0.1808","5.0633","0.1808","0.0000","37.9747"
"Precinct","28","83-28","691","61.4769",\N,\N,\N,\N,"2.4011",\N,\N,"0.2894","42.4023","1.0130","4.9204","1.1577","0.0000","50.2171"
"Precinct","29","83-29","829","66.1612",\N,\N,\N,\N,"2.5852",\N,\N,"0.2413","38.3595","0.2413","3.3776","1.4475","0.0000","56.2123"
"Precinct","30","83-30","887","62.2456",\N,\N,\N,\N,"2.8478",\N,\N,"0.2255","23.9008","0.7892","2.4803","1.3529","0.0000","70.9132"
"Precinct","31","83-31","712","64.0864",\N,\N,\N,\N,"2.7322",\N,\N,"0.1404","33.5674","0.4213","1.8258","1.8258","0.0000","61.7978"
"Precinct","32","83-32","545","55.7830",\N,\N,\N,\N,"3.3688",\N,\N,"0.3670","29.5413","0.0000","5.1376","0.5505","0.0000","63.8532"
"Precinct","33","83-33","985","65.9745",\N,\N,\N,\N,"3.2417",\N,\N,"0.3046","35.7360","0.6091","3.1472","1.4213","0.0000","58.5787"
"Precinct","34","83-34","537","62.2248",\N,\N,\N,\N,"5.2910",\N,\N,"0.1862","36.6853","0.9311","6.3315","0.1862","0.0000","55.1210"
"Precinct","35","83-35","766","52.2510",\N,\N,\N,\N,"4.9628",\N,\N,"0.5222","28.4595","0.5222","3.9164","2.0888","0.0000","64.4909"
"Precinct","36","83-36","441","64.5681",\N,\N,\N,\N,"0.0000",\N,\N,"0.0000","40.8163","0.0000","6.8027","0.2268","0.0000","48.9796"
"Precinct","37","83-37","888","69.1589",\N,\N,\N,\N,"2.2026",\N,\N,"0.0000","28.8288","0.2252","3.0405","0.3378","0.0000","67.4550"
"Precinct","38","83-38","364","64.1975",\N,\N,\N,\N,"4.2105",\N,\N,"0.2747","36.5385","0.0000","8.5165","0.5495","0.0000","54.1209"
"Precinct","39","83-39","318","57.0916",\N,\N,\N,\N,"5.6380",\N,\N,"0.0000","38.0503","0.0000","7.5472","0.6289","0.0000","53.7736"
"Precinct","40","83-40","240","74.0741",\N,\N,\N,\N,"0.0000",\N,\N,"0.0000","43.3333","0.0000","2.5000","0.0000","0.0000","51.6667"
"Precinct","41","83-41","318","66.8067",\N,\N,\N,\N,"0.9346",\N,\N,"0.6289","39.6226","0.9434","5.0314","1.2579","0.0000","52.2013"
"Precinct","42","83-42","244","78.7097",\N,\N,\N,\N,"0.8130",\N,\N,"0.0000","49.1803","0.0000","2.0492","0.0000","0.0000","48.3607"
"Precinct","43","83-43","529","67.0469",\N,\N,\N,\N,"2.2181",\N,\N,"0.1890","50.6616","0.5671","3.9698","1.7013","0.0000","37.9962"
"Precinct","44","83-44","358","70.1961",\N,\N,\N,\N,"3.5040",\N,\N,"0.5587","31.5642","2.5140","4.7486","3.0726","0.0000","57.5419"
"Precinct","1","84-1","530","63.7786",\N,\N,\N,\N,"4.6763",\N,\N,"0.5660","70.0000","0.5660","3.9623","0.5660","1.5094","22.4528"
"Precinct","2","84-2","327","60.0000",\N,\N,\N,\N,"4.9419",\N,\N,"0.0000","74.6177","0.3058","0.9174","0.9174","0.6116","22.6300"
"Precinct","3","84-3","204","54.1114",\N,\N,\N,\N,"2.8571",\N,\N,"0.4902","53.9216","0.0000","2.9412","0.4902","0.9804","39.2157"
"Precinct","4","84-4","479","53.5794",\N,\N,\N,\N,"3.6217",\N,\N,"1.0438","49.0605","1.2526","2.5052","2.9228","0.8351","42.3800"
"Precinct","5","84-5","301","55.0274",\N,\N,\N,\N,"2.2727",\N,\N,"0.0000","77.0764","0.3322","3.9867","0.3322","0.9967","17.2757"
"Precinct","6","84-6","233","60.6771",\N,\N,\N,\N,"4.1152",\N,\N,"0.4292","65.2361","0.0000","2.5751","0.4292","3.8627","27.4678"
"Precinct","7","84-7","334","53.5256",\N,\N,\N,\N,"4.2980",\N,\N,"1.4970","53.5928","0.5988","11.9760","0.0000","1.7964","30.2395"
"Precinct","8","84-8","296","64.3478",\N,\N,\N,\N,"1.6611",\N,\N,"1.3514","69.5946","0.0000","4.0541","1.3514","1.0135","22.6351"
"Precinct","9","84-9","378","55.4252",\N,\N,\N,\N,"3.3248",\N,\N,"1.0582","53.4392","0.5291","5.8201","1.0582","5.5556","32.0106"
"Precinct","10","84-10","298","63.0021",\N,\N,\N,\N,"2.6144",\N,\N,"0.0000","63.0872","0.0000","11.7450","1.3423","2.0134","21.8121"
"Precinct","11","84-11","320","48.8550",\N,\N,\N,\N,"3.3233",\N,\N,"0.9375","55.3125","0.0000","6.2500","0.0000","1.2500","36.2500"
"Precinct","12","84-12","554","52.5617",\N,\N,\N,\N,"2.9772",\N,\N,"0.7220","44.9458","0.0000","3.9711","1.0830","3.7906","45.4874"
"Precinct","13","84-13","262","66.3291",\N,\N,\N,\N,"2.6022",\N,\N,"1.1450","42.3664","0.0000","3.8168","0.0000","0.3817","52.2901"
"Precinct","14","84-14","330","60.9982",\N,\N,\N,\N,"2.9412",\N,\N,"0.3030","56.3636","0.0000","1.5152","0.3030","0.0000","41.5152"
"Precinct","15","84-15","192","59.6273",\N,\N,\N,\N,"3.0303",\N,\N,"1.5625","70.8333","0.0000","3.1250","0.0000","1.5625","22.9167"
