shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Tbilisi Precinct,36,6-36,668,49.6654,\N,\N,\N,\N,2.7656,\N,\N,\N,0,\N,\N,\N,0,1.1542,1.0867,0.4667,\N,\N,\N,\N,\N,\N,0,0,27.8443,0,4.9401,0,0,0,0,0,0,0,0,0.5988,0,66.6168
Tbilisi Precinct,37,6-37,628,49.9205,\N,\N,\N,\N,3.2357,\N,\N,\N,2,\N,\N,\N,0,1.3042,0.9533,0.2778,\N,\N,\N,\N,\N,\N,0.1592,0,28.0255,0,2.8662,0,0,0,0,0,0,0,0,0.7962,0,67.8344
Tbilisi Precinct,38,6-38,886,55.3404,\N,\N,\N,\N,4.3197,\N,\N,\N,0,\N,\N,\N,0,1.6125,1.3267,0.7833,\N,\N,\N,\N,\N,\N,0,0,24.4921,0,2.3702,0,0,0,0,0,0,0,0,1.5801,0,71.5576
Tbilisi Precinct,39,6-39,707,56.7416,\N,\N,\N,\N,2.0776,\N,\N,\N,7,\N,\N,\N,0,1.2083,1.1567,0.4722,\N,\N,\N,\N,\N,\N,0.1414,0,23.0552,0,4.6676,0,0,0,0,0,0,0,0,1.8388,0,69.3069
Tbilisi Precinct,40,6-40,571,51.6275,\N,\N,\N,\N,7.6052,\N,\N,\N,0,\N,\N,\N,0,1.1917,0.8767,0.3833,\N,\N,\N,\N,\N,\N,0.3503,0,32.2242,0,4.028,0,0,0,0,0,0,0,0,0.7005,0,62.697
Tbilisi Precinct,41,6-41,845,56.4462,\N,\N,\N,\N,3.868,\N,\N,\N,5,\N,\N,\N,0,1.5833,1.33,0.5556,\N,\N,\N,\N,\N,\N,0.4734,0,29.4675,0,4.2604,0,0,0,0,0,0,0,0,1.7751,0,63.432
Tbilisi Precinct,42,6-42,790,57.2464,\N,\N,\N,\N,3.7759,\N,\N,\N,4,\N,\N,\N,0,1.4375,1.1567,0.7167,\N,\N,\N,\N,\N,\N,0.5063,0,28.2278,0,3.2911,0,0,0,0,0,0,0,0,1.2658,0,66.2025
Tbilisi Precinct,43,6-43,660,53.3549,\N,\N,\N,\N,3.2258,\N,\N,\N,6,\N,\N,\N,0,1.4333,1.0633,0.1056,\N,\N,\N,\N,\N,\N,0.303,0,31.8182,0,3.9394,0,0,0,0,0,0,0,0,1.6667,0,61.3636
Tbilisi Precinct,44,6-44,711,52.5499,\N,\N,\N,\N,3.5278,\N,\N,\N,0,\N,\N,\N,0,1.5042,0.9567,0.4944,\N,\N,\N,\N,\N,\N,0.2813,0,30.2391,0,2.391,0,0,0,0,0,0,0,0,0.5626,0,66.526
Tbilisi Precinct,45,6-45,578,53.0275,\N,\N,\N,\N,2.6936,\N,\N,\N,2,\N,\N,\N,0,1.0625,0.9367,0.3222,\N,\N,\N,\N,\N,\N,0.173,0,32.699,0,3.4602,0,0,0,0,0,0,0,0,1.3841,0,61.9377
