region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,2 - European Georgia,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,10 - Labour,11 - National Democratic Party of Georgia,14 - Georgian Unity and Development Party,17 - Georgia,18 - Union of Georgian Traditionalists,20 - National Forum,23 - New Christian Democrats,27 - Unity - New Georgia,28 - Lord Our Righteousness,38 - Party of People,39 - Progressive Democratic Movement,41 - Georgian Dream,42 - Initiative Group
,2,,33,,1202,2,177,435,546,1150,12,534,,,,,,,32,6,62,13,2,0,,0,0,3,,17,,,1,273,125
,2,,34,,1340,12,211,496,660,1250,8,652,,,,,,,36,10,80,30,2,0,,0,0,1,,20,,,1,317,155
,2,,35,,1129,12,158,416,533,1050,17,516,,,,,,,40,7,70,11,2,0,,0,0,0,,20,,,0,259,107
,2,,36,,1281,6,204,522,645,1200,18,627,,,,,,,24,7,96,18,4,1,,0,0,4,,12,,,2,307,152
,2,,37,,1310,10,184,497,637,1250,14,623,,,,,,,29,9,106,24,4,0,,0,0,0,,18,,,3,300,130
,2,,38,,1240,9,165,455,552,1150,21,531,,,,,,,32,4,64,14,3,0,,0,0,2,,8,,,1,254,149
,2,,39,,1582,8,192,566,732,1500,17,715,,,,,,,39,8,96,17,5,0,,0,0,3,,19,,,0,357,171
,2,,40,,1408,19,202,562,723,1350,16,702,,,,,,,40,8,102,13,7,0,,0,4,0,,28,,,0,370,130
,2,,41,,932,8,121,362,426,850,5,421,,,,,,,21,9,65,13,5,0,,1,1,0,,17,,,0,191,98
,2,,42,,1335,8,239,521,663,1250,20,643,,,,,,,50,7,104,19,5,0,,0,0,0,,16,,,1,272,169
,2,,43,,1444,5,209,516,665,1350,26,637,,,,,,,44,8,95,15,10,0,,0,0,4,,18,,,0,287,156
,2,,44,,1519,7,220,625,783,1400,18,764,,,,,,,42,11,115,24,4,0,,0,1,1,,8,,,1,405,152
,2,,45,,1343,8,195,520,653,1250,24,629,,,,,,,38,11,99,23,3,0,,1,0,3,,17,,,0,278,156
,2,,46,,1198,6,131,489,625,1100,25,600,,,,,,,35,14,77,15,8,0,,0,0,2,,7,,,0,299,143
,2,,47,,1393,10,246,598,713,1300,14,698,,,,,,,32,9,78,24,7,1,,0,0,1,,17,,,1,399,129
,2,,48,,1175,5,180,480,597,1100,14,583,,,,,,,33,10,63,15,1,1,,0,1,0,,14,,,1,326,118
,2,,49,,1473,11,200,570,728,1400,24,702,,,,,,,52,10,80,10,5,0,,0,0,4,,21,,,1,358,161
,2,,50,,1438,9,168,609,755,1350,18,736,,,,,,,46,12,82,24,3,0,,0,2,5,,12,,,0,412,138
,2,,51,,1532,8,182,603,786,1450,16,770,,,,,,,42,2,76,18,5,3,,1,0,9,,22,,,0,461,131
,2,,52,,1154,11,140,514,637,1050,13,623,,,,,,,49,7,76,7,3,0,,0,0,2,,30,,,0,318,131
,2,,53,,1488,2,145,426,589,1400,12,577,,,,,,,30,9,84,18,15,0,,1,0,2,,8,,,1,305,104
,2,,54,,1095,9,138,457,545,1000,11,534,,,,,,,35,9,76,14,4,2,,1,0,1,,19,,,0,253,120
,2,,55,,1328,11,174,479,610,1250,9,600,,,,,,,27,8,89,11,4,0,,4,1,3,,15,,,3,294,141
,2,,56,,1527,5,181,470,601,1400,15,586,,,,,,,40,4,104,11,2,2,,0,0,1,,13,,,0,294,115
,2,,57,,1201,7,137,428,592,1100,11,581,,,,,,,52,17,79,12,5,0,,0,0,4,,20,,,0,241,151
,2,,58,,1425,9,268,555,691,1350,13,678,,,,,,,48,14,103,21,4,1,,0,0,3,,23,,,0,347,114
,2,,59,,1381,11,202,529,652,1300,8,644,,,,,,,21,7,83,20,2,0,,0,3,3,,14,,,0,321,170
,2,,60,,1499,10,257,640,771,1400,29,742,,,,,,,27,14,100,16,1,0,,0,0,5,,10,,,0,404,165
,2,,61,,1463,6,225,536,723,1400,20,703,,,,,,,31,5,85,21,2,3,,1,0,3,,11,,,0,385,156
,2,,62,,1156,8,160,442,551,1100,8,541,,,,,,,26,6,82,5,4,0,,0,0,0,,14,,,1,243,160
,2,,63,,1240,10,154,456,567,1150,22,545,,,,,,,34,11,102,11,4,0,,0,0,1,,14,,,1,269,98
,2,,64,,1174,9,170,462,561,1100,19,542,,,,,,,33,7,84,11,4,0,,0,0,2,,13,,,1,266,121
,2,,65,,1066,7,137,326,395,1000,10,385,,,,,,,34,5,90,3,3,0,,1,0,0,,7,,,0,182,60
,2,,66,,1294,9,256,571,684,1250,16,668,,,,,,,95,5,51,17,8,1,,0,3,0,,9,,,0,393,86
,2,,67,,1022,7,184,416,588,950,19,569,,,,,,,78,11,59,11,2,0,,0,0,0,,0,,,0,358,50
,2,,68,,1304,4,253,475,578,1200,17,561,,,,,,,118,1,73,12,7,0,,0,0,0,,4,,,6,308,32
,2,,69,,1102,5,204,466,555,1050,17,538,,,,,,,60,6,76,11,3,0,,0,0,1,,4,,,0,332,45
,2,,70,,991,8,142,331,440,900,11,429,,,,,,,57,5,81,8,2,0,,0,0,2,,4,,,0,228,42
,2,,71,,1394,4,147,416,540,1250,16,523,,,,,,,24,8,86,15,2,0,,0,0,0,,7,,,3,305,73
,2,,72,,870,8,113,343,445,800,14,431,,,,,,,27,6,68,11,3,0,,0,0,0,,13,,,5,204,94
,2,,73,,1055,6,197,390,480,1000,12,466,,,,,,,19,7,77,17,5,0,,0,0,1,,11,,,0,245,84
,2,,74,,875,10,150,370,454,800,12,441,,,,,,,27,4,64,6,6,0,,0,0,0,,6,,,0,218,110
,2,,75,,922,5,178,405,469,850,13,456,,,,,,,29,4,44,9,3,0,,0,0,0,,0,,,0,326,41
,2,,76,,1158,11,130,464,604,1100,22,581,,,,,,,32,7,51,13,4,0,,0,0,5,,16,,,1,297,155
,2,,78,,942,22,123,334,429,900,12,417,,,,,,,20,3,53,7,3,1,,0,0,1,,16,,,0,209,104
,2,,79,,972,8,123,267,336,900,7,329,,,,,,,27,9,79,8,1,0,,0,1,1,,3,,,0,167,33
,2,,80,,498,13,75,210,250,500,7,248,,,,,,,17,9,42,4,2,0,,0,0,1,,3,,,1,122,47
,3,,1,,1520,10,252,585,728,1400,20,708,,,,,,,49,6,107,17,7,0,,0,0,5,,18,,,1,358,140
,3,,2,,1522,10,205,610,814,1450,21,786,,,,,,,49,15,112,18,10,0,,3,0,3,,33,,,1,389,153
,3,,3,,1388,11,172,533,678,1300,21,654,,,,,,,59,9,82,15,4,0,,1,0,6,,8,,,0,330,140
,3,,4,,1347,10,216,470,575,1250,14,558,,,,,,,43,5,64,14,5,1,,0,1,3,,12,,,0,281,129
,3,,5,,1544,6,239,585,751,1450,17,734,,,,,,,44,5,140,11,4,0,,0,2,2,,15,,,0,391,120
