shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Democratic Movement - Free Georgia,United National Movement,Alliance of Patriots,Georgian Dream,Initiative Group
Precinct,50,60-50,440,62.68,,,,,4.35,,,,0,,,,0,0.8,0.69,0.34,,,,,,,,,,51.14,48.86
Precinct,51,60-51,460,55.83,,,,,1.08,,,,0,,,,0,0.75,0.73,0.37,,,,,,,,,,41.3,58.7
Precinct,52,60-52,874,60.03,,,,,1.91,,,,0,,,,0,1.45,1.31,0.83,,,,,,,,,,42.79,57.21
Precinct,53,60-53,546,65.16,,,,,1.62,,,,0,,,,0,0.96,0.82,0.44,,,,,,,,,,59.34,40.66
Precinct,54,60-54,592,59.08,,,,,1.33,,,,0,,,,0,0.9,0.82,0.76,,,,,,,,,,60.3,39.7
Precinct,55,60-55,600,54.69,,,,,2.76,,,,0,,,,0,1.05,0.95,0.45,,,,,,,,,,43.83,56.17
Precinct,56,60-56,616,55.65,,,,,1.44,,,,0,,,,0,1.1,0.93,0.44,,,,,,,,,,50.16,49.84
Precinct,57,60-57,480,59.63,,,,,1.64,,,,0,,,,0,0.95,0.69,0.28,,,,,,,,,,58.75,41.25
Precinct,58,60-58,598,57.28,,,,,1.97,,,,0,,,,0,1.05,0.83,0.61,,,,,,,,,,51.67,48.33
Precinct,59,60-59,678,55.44,,,,,4.78,,,,0,,,,0,1.1,0.96,0.89,,,,,,,,,,41.3,58.11
Precinct,60,60-60,390,53.79,,,,,3.47,,,,0,,,,0,0.76,0.53,0.34,,,,,,,,,,51.28,48.72
Precinct,61,60-61,518,52.8,,,,,1.52,,,,0,,,,0,0.89,0.82,0.37,,,,,,,,,,46.33,53.67
Precinct,62,60-62,271,39.56,,,,,0.73,,,,0,,,,0,0.49,0.39,0.22,,,,,,,,,,45.76,54.24
Precinct,1,65-1,471,42.09,,,,,0.42,,,,0,,,,0,0.51,0.74,0.71,,,,,,,,0.42,,99.58,
Precinct,2,65-2,377,31.87,,,,,2.33,,,,0,,,,0,0.45,0.69,0.39,,,,,,,,5.04,,94.96,
Precinct,3,65-3,167,35.99,,,,,2.91,,,,0,,,,0,0.28,0.23,0.21,,,,,,,,2.4,,97.6,
Precinct,4,65-4,347,34.02,,,,,2.25,,,,0,,,,0,0.44,0.6,0.38,,,,,,,,8.36,,91.64,
Precinct,5,65-5,182,39.06,,,,,6.67,,,,0,,,,0,0.33,0.3,0.16,,,,,,,,10.44,,89.56,
Precinct,6,65-6,197,39.8,,,,,2.48,,,,0,,,,0,0.25,0.36,0.18,,,,,,,,9.14,,90.86,
Precinct,7,65-7,432,59.26,,,,,2.26,,,,0,,,,0,0.55,0.86,0.29,,,,,,,,4.63,,94.68,
Precinct,8,65-8,222,38.81,,,,,2.2,,,,0,,,,0,0.29,0.4,0.21,,,,,,,,7.66,,92.34,
Precinct,9,65-9,369,35.08,,,,,3.66,,,,0,,,,0,0.63,0.53,0.41,,,,,,,,11.65,,88.35,
Precinct,10,65-10,336,39.53,,,,,1.18,,,,0,,,,0,0.46,0.67,0.17,,,,,,,,2.38,,97.32,
Precinct,11,65-11,281,37.57,,,,,1.4,,,,0,,,,0,0.3,0.47,0.41,,,,,,,,9.61,,90.39,
Precinct,12,65-12,275,36.91,,,,,2.83,,,,0,,,,0,0.29,0.59,0.21,,,,,,,,5.82,,94.18,
Precinct,13,65-13,365,27.91,,,,,1.88,,,,0,,,,0,0.53,0.58,0.4,,,,,,,,5.75,,94.25,
Precinct,14,65-14,218,27.49,,,,,4.8,,,,0,,,,0,0.26,0.47,0.15,,,,,,,,11.47,,88.53,
Precinct,15,65-15,315,55.17,,,,,1.87,,,,0,,,,0,0.38,0.61,0.27,,,,,,,,1.27,,98.73,
Precinct,16,65-16,196,51.44,,,,,0.51,,,,0,,,,0,0.19,0.31,0.33,,,,,,,,10.2,,89.8,
Precinct,17,65-17,312,39.15,,,,,2.19,,,,0,,,,0,0.34,0.57,0.37,,,,,,,,10.26,,89.74,
Precinct,18,65-18,267,29.24,,,,,0.37,,,,0,,,,0,0.33,0.42,0.34,,,,,,,,8.99,,91.01,
Precinct,19,65-19,312,34.98,,,,,1.89,,,,0,,,,0,0.34,0.62,0.28,,,,,,,,10.26,,89.74,
Precinct,20,65-20,184,36.08,,,,,4.17,,,,0,,,,0,0.34,0.27,0.17,,,,,,,,7.07,,92.93,
Precinct,21,65-21,406,32.85,,,,,2.4,,,,0,,,,0,0.5,0.64,0.59,,,,,,,,9.36,,90.64,
Precinct,22,65-22,303,50.58,,,,,1.62,,,,0,,,,0,0.67,0.38,0.19,,,,,,,,8.91,,91.09,
Precinct,23,65-23,245,49.7,,,,,2.0,,,,0,,,,0,0.23,0.46,0.31,,,,,,,,3.27,,95.51,
Precinct,24,65-24,142,49.48,,,,,2.07,,,,0,,,,0,0.21,0.24,0.13,,,,,,,,7.04,,92.96,
Precinct,25,65-25,374,36.81,,,,,1.58,,,,0,,,,0,0.39,0.63,0.55,,,,,,,,4.55,,95.45,
Precinct,26,65-26,304,27.97,,,,,1.94,,,,0,,,,0,0.33,0.54,0.39,,,,,,,,9.21,,90.79,
Precinct,27,65-27,467,48.8,,,,,0.85,,,,0,,,,0,0.4,0.94,0.51,,,,,,,,2.78,,97.22,
Precinct,28,65-28,364,47.52,,,,,0.82,,,,0,,,,0,0.54,0.44,0.58,,,,,,,,2.2,,97.8,
Precinct,29,65-29,287,37.71,,,,,1.03,,,,0,,,,0,0.42,0.37,0.43,,,,,,,,3.14,,96.86,
Precinct,30,65-30,417,36.1,,,,,2.57,,,,0,,,,0,0.54,0.68,0.52,,,,,,,,8.63,,91.37,
Precinct,31,65-31,295,39.12,,,,,2.32,,,,0,,,,0,0.16,0.67,0.36,,,,,,,,8.14,,91.86,
Precinct,32,65-32,409,31.32,,,,,3.08,,,,0,,,,0,0.57,0.81,0.23,,,,,,,,13.2,,86.8,
Precinct,33,65-33,461,36.88,,,,,2.33,,,,0,,,,0,0.55,0.8,0.54,,,,,,,,10.2,,89.8,
Precinct,34,65-34,517,50.44,,,,,3.0,,,,0,,,,0,0.59,0.92,0.64,,,,,,,,3.87,,96.13,
Precinct,35,65-35,460,33.43,,,,,1.5,,,,0,,,,0,0.5,0.7,0.77,,,,,,,,7.17,,92.83,
Precinct,36,65-36,527,39.92,,,,,1.68,,,,0,,,,0,0.61,0.91,0.65,,,,,,,,8.35,,91.65,
Precinct,37,65-37,190,31.83,,,,,7.32,,,,0,,,,0,0.32,0.3,0.21,,,,,,,,10.0,,90.0,
Precinct,38,65-38,197,29.32,,,,,3.9,,,,0,,,,0,0.25,0.31,0.28,,,,,,,,12.69,,87.31,
Precinct,39,65-39,156,40.84,,,,,4.29,,,,0,,,,0,0.26,0.2,0.23,,,,,,,,3.85,,96.15,
