shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Majoritarian Precinct,38,30-38,461,51.74,,,,,2.74,,,,0,,,,0,0.72,0.75,0.42,,,,,,,,,7.81,,1.3,10.85,,20.17,,,,,,,,,,,,,,,36.23
Majoritarian Precinct,30,30-30,292,46.79,,,,,4.89,,,,0,,,,0,0.75,0.27,0.26,,,,,,,,,10.96,,4.79,2.05,,1.71,,,,,,,,,,,,,,,39.38
Majoritarian Precinct,31,30-31,871,59.17,,,,,2.24,,,,0,,,,0,1.49,1.21,0.95,,,,,,,,,0.69,,1.15,,,54.88,,,,,,,,,,,,,,,43.17
Majoritarian Precinct,1,32-1,476,34.29,,,,,4.8,,,,0,,,,0,0.73,0.61,0.78,,,,,,,0.42,,5.46,,9.45,,,3.15,0.0,,,,,24.58,,,1.68,,0.84,,,,51.68
Majoritarian Precinct,2,32-2,466,36.01,,,,,3.92,,,,0,,,,0,0.78,0.52,0.79,,,,,,,0.21,,4.94,,16.52,,,1.5,0.86,,,,,22.1,,,0.21,,1.07,,,,46.57
Majoritarian Precinct,3,32-3,428,33.15,,,,,5.52,,,,0,,,,0,0.55,0.65,0.69,,,,,,,2.1,,5.14,,16.82,,,2.1,0.23,,,,,17.06,,,1.17,,1.87,,,,43.46
Majoritarian Precinct,4,32-4,468,30.97,,,,,3.9,,,,0,,,,0,0.6,0.72,0.71,,,,,,,4.27,,5.34,,16.03,,,3.85,0.0,,,,,26.28,,,0.85,,1.5,,,,30.77
Majoritarian Precinct,5,32-5,479,32.08,,,,,5.34,,,,0,,,,0,0.68,0.63,0.86,,,,,,,0.42,,10.02,,10.86,,,3.34,0.21,,,,,22.13,,,2.3,,3.34,,,,34.45
Majoritarian Precinct,6,32-6,452,33.53,,,,,4.03,,,,0,,,,0,0.75,0.65,0.52,,,,,,,3.1,,8.41,,13.72,,,3.1,0.44,,,,,18.36,,,1.33,,2.65,,,,25.89
Majoritarian Precinct,7,32-7,436,39.49,,,,,7.63,,,,0,,,,0,0.68,0.7,0.55,,,,,,,3.44,,11.24,,10.55,,,3.9,0.23,,,,,11.7,,,1.38,,1.83,,,,40.83
Majoritarian Precinct,8,32-8,391,36.89,,,,,3.69,,,,0,,,,0,0.52,0.63,0.51,,,,,,,4.35,,13.3,,14.83,,,2.81,0.26,,,,,12.28,,,2.3,,1.79,,,,31.71
Majoritarian Precinct,10,32-10,464,35.15,,,,,4.33,,,,0,,,,0,0.67,0.68,0.66,,,,,,,4.09,,9.27,,12.93,,,2.37,0.22,,,,,19.18,,,1.51,,1.72,,,,37.93
Majoritarian Precinct,11,32-11,423,34.11,,,,,4.3,,,,0,,,,0,0.62,0.65,0.55,,,,,,,2.6,,11.11,,11.11,,,1.18,0.0,,,,,24.59,,,0.0,,4.26,,,,27.9
Majoritarian Precinct,80,32-80,445,38.13,,,,,4.09,,,,0,,,,0,0.58,0.65,0.71,,,,,,,12.36,,6.29,,10.56,,,0.0,0.0,,,,,19.78,,,0.9,,1.12,,,,24.94
Majoritarian Precinct,81,32-81,383,28.73,,,,,5.2,,,,0,,,,0,0.53,0.55,0.62,,,,,,,1.31,,14.36,,14.62,,,2.61,0.0,,,,,16.45,,,0.52,,3.13,,,,27.42
Majoritarian Precinct,9,32-9,501,33.49,,,,,5.29,,,,0,,,,0,0.77,0.64,0.86,,,,,,,2.59,,4.79,,14.37,,,2.99,0.2,,,,,21.76,,12.97,1.6,,2.2,,,,33.53
Majoritarian Precinct,12,32-12,478,36.97,,,,,3.82,,,,0,,,,0,0.65,0.82,0.54,,,,,,,5.65,,10.25,,13.39,,,3.56,0.21,,,,,21.55,,2.72,1.26,,1.26,,,,37.66
Majoritarian Precinct,13,32-13,425,36.48,,,,,4.71,,,,0,,,,0,0.57,0.6,0.71,,,,,,,2.59,,8.94,,12.47,,,1.65,0.0,,,,,22.59,,2.12,0.94,,1.18,,,,40.71
Majoritarian Precinct,14,32-14,335,33.43,,,,,4.83,,,,0,,,,0,0.45,0.49,0.54,,,,,,,1.49,,5.67,,19.1,,,1.79,0.6,,,,,31.04,,3.58,1.19,,3.28,,,,31.04
Majoritarian Precinct,82,32-82,502,37.3,,,,,2.71,,,,0,,,,0,0.68,0.75,0.71,,,,,,,1.99,,6.37,,10.56,,,2.19,0.0,,,,,31.67,,4.38,1.99,,3.59,,,,35.06
Majoritarian Precinct,95,32-95,457,38.31,,,,,5.97,,,,0,,,,0,0.7,0.73,0.55,,,,,,,7.44,,4.16,,8.97,,,2.41,0.0,,,,,25.82,,1.75,0.0,,2.84,,,,42.45
Majoritarian Precinct,101,32-101,382,57.19,,,,,3.05,,,,0,,,,0,0.56,0.6,0.44,,,,,,,1.57,,3.14,,16.75,,,1.83,0.0,,,,,39.01,,0.26,0.26,,1.83,,,,32.98
Majoritarian Precinct,15,32-15,366,28.48,,,,,4.19,,,,0,,,,0,0.62,0.5,0.46,,,,,,,1.91,,9.56,,18.58,,,1.64,0.0,,,,,20.49,,1.09,0.55,,0.82,,,,20.49
Majoritarian Precinct,16,32-16,381,30.75,,,,,5.93,,,,0,,,,0,0.54,0.64,0.46,,,,,,,2.36,,3.94,,9.97,,,1.31,0.0,,,,,12.86,,0.52,0.0,,2.89,,,,15.49
Majoritarian Precinct,17,32-17,376,26.07,,,,,4.81,,,,0,,,,0,0.68,0.47,0.49,,,,,,,1.6,,4.52,,13.83,,,5.32,0.27,,,,,34.57,,2.39,0.27,,2.13,,,,19.15
Majoritarian Precinct,18,32-18,579,60.38,,,,,2.2,,,,0,,,,0,0.43,0.4,2.06,,,,,,,0.35,,1.04,,11.57,,,0.86,0.17,,,,,13.99,,0.35,0.69,,2.07,,,,13.47
Majoritarian Precinct,83,32-83,500,36.28,,,,,3.85,,,,0,,,,0,0.68,0.47,1.2,,,,,,,4.4,,3.2,,6.0,,,0.2,0.2,,,,,20.8,,1.0,0.0,,2.2,,,,22.2
Majoritarian Precinct,85,32-85,392,26.24,,,,,2.97,,,,0,,,,0,0.54,0.61,0.51,,,,,,,1.02,,8.16,,13.52,,,2.04,0.0,,,,,16.58,,3.57,1.02,,1.28,,,,31.38
Majoritarian Precinct,86,32-86,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majoritarian Precinct,107,32-107,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majoritarian Precinct,19,32-19,505,34.59,,,,,3.63,,,,0,,,,0,0.77,0.65,0.8,,,,,,,7.33,,5.35,,14.65,,,,0.0,,,,,25.94,,0.4,0.59,,8.91,,,,32.08
Majoritarian Precinct,20,32-20,330,24.96,,,,,3.51,,,,0,,,,0,0.6,0.46,0.32,,,,,,,6.67,,6.36,,14.55,,,,0.0,,,,,34.24,,1.82,3.03,,5.15,,,,20.61
Majoritarian Precinct,21,32-21,462,30.88,,,,,3.75,,,,0,,,,0,0.65,0.77,0.52,,,,,,,5.63,,4.98,,14.72,,,,0.22,,,,,28.79,,1.95,1.52,,5.63,,,,31.17
Majoritarian Precinct,22,32-22,322,25.91,,,,,3.88,,,,0,,,,0,0.55,0.41,0.44,,,,,,,4.66,,2.48,,31.37,,,,0.0,,,,,32.61,,2.17,1.55,,4.66,,,,15.84
Majoritarian Precinct,23,32-23,348,29.32,,,,,6.2,,,,0,,,,0,0.53,0.51,0.51,,,,,,,1.15,,16.95,,14.94,,,,0.0,,,,,35.92,,1.44,0.0,,6.32,,,,20.4
Majoritarian Precinct,84,32-84,398,32.2,,,,,3.16,,,,0,,,,0,0.56,0.59,0.56,,,,,,,10.05,,3.52,,18.84,,,,0.0,,,,,32.16,,3.02,7.54,,1.51,,,,17.09
Majoritarian Precinct,96,32-96,291,29.45,,,,,2.68,,,,0,,,,0,0.4,0.43,0.42,,,,,,,4.12,,5.15,,17.53,,,,0.0,,,,,40.21,,1.37,1.37,,4.12,,,,23.71
Majoritarian Precinct,25,32-25,598,48.03,,,,,6.27,,,,0,,,,0,1.07,0.7,0.96,,,,,,,,,1.34,,15.05,,,,,,,,,16.89,,4.85,,,1.0,,,,30.77
Majoritarian Precinct,26,32-26,165,41.15,,,,,4.62,,,,0,,,,0,0.34,0.18,0.21,,,,,,,,,3.03,,6.06,,,,,,,,,5.45,,30.91,,,0.61,,,,42.42
Majoritarian Precinct,27,32-27,202,40.16,,,,,6.91,,,,0,,,,0,0.32,0.31,0.26,,,,,,,,,6.44,,12.38,,,,,,,,,16.83,,13.37,,,0.5,,,,41.09
Majoritarian Precinct,87,32-87,295,43.45,,,,,4.84,,,,0,,,,0,0.46,0.42,0.41,,,,,,,,,2.03,,3.05,,,,,,,,,12.2,,8.14,,,1.36,,,,34.24
Majoritarian Precinct,28,32-28,422,39.89,,,,,2.99,,,,0,,,,0,0.66,0.57,0.59,,,,,,,0.47,,15.4,,5.92,,,,0.0,,,,,4.98,,,2.13,,,,,,48.58
Majoritarian Precinct,29,32-29,367,42.67,,,,,4.18,,,,0,,,,0,0.61,0.58,0.35,,,,,,,0.0,,2.72,,8.17,,,,14.99,,,,,28.34,,,0.0,,,,,,14.99
Majoritarian Precinct,30,32-30,446,47.3,,,,,3.25,,,,0,,,,0,0.46,0.79,0.64,,,,,,,0.67,,5.83,,6.28,,,,0.0,,,,,28.03,,,0.0,,,,,,47.09
Majoritarian Precinct,31,32-31,242,41.37,,,,,1.63,,,,0,,,,0,0.27,0.37,0.38,,,,,,,1.24,,3.31,,12.81,,,,0.41,,,,,53.72,,,0.41,,,,,,21.07
Majoritarian Precinct,32,32-32,227,29.18,,,,,2.16,,,,0,,,,0,0.35,0.33,0.27,,,,,,,0.44,,9.25,,17.18,,,,,,,,,13.22,,,4.85,,2.2,,,,30.84
Majoritarian Precinct,33,32-33,264,34.02,,,,,4.35,,,,0,,,,0,0.43,0.37,0.33,,,,,,,2.27,,5.3,,10.61,,,,,,,,,31.06,,,1.89,,4.17,,,,30.3
Majoritarian Precinct,34,32-34,348,26.52,,,,,2.25,,,,0,,,,0,0.45,0.44,0.63,,,,,,,0.0,,13.51,,15.23,,,,,,,,,25.0,,,0.86,,1.15,,,,36.49
Majoritarian Precinct,35,32-35,234,31.84,,,,,4.88,,,,0,,,,0,0.35,0.33,0.35,,,,,,,0.0,,5.13,,25.64,,,,,,,,,18.8,,,17.52,,2.56,,,,16.67
Majoritarian Precinct,88,32-88,339,30.0,,,,,3.14,,,,0,,,,0,0.52,0.43,0.54,,,,,,,0.3,,7.67,,14.16,,,,,,,,,23.6,,,0.59,,0.89,,,,46.61
Majoritarian Precinct,97,32-97,281,24.69,,,,,4.75,,,,0,,,,0,0.45,0.38,0.4,,,,,,,8.54,,4.98,,11.74,,,,,,,,,7.47,,,0.0,,1.78,,,,16.37
Majoritarian Precinct,102,32-102,229,69.82,,,,,3.38,,,,0,,,,0,0.35,0.35,0.27,,,,,,,0.44,,8.73,,33.19,,,,,,,,,18.78,,,5.24,,1.31,,,,28.82
Majoritarian Precinct,36,32-36,180,40.82,,,,,4.26,,,,0,,,,0,0.58,0.14,0.03,,,,,,,0.56,,3.33,,7.78,,,,,,,,,7.78,,,4.44,,0.0,,,,23.33
Majoritarian Precinct,37,32-37,87,35.37,,,,,6.45,,,,0,,,,0,0.15,0.13,0.11,,,,,,,0.0,,0.0,,2.3,,,,,,,,,1.15,,,0.0,,0.0,,,,32.18
Majoritarian Precinct,38,32-38,539,53.21,,,,,2.53,,,,0,,,,0,0.69,0.95,0.57,,,,,,,,,1.67,,5.75,,,,,,,,,40.63,,,,,0.19,,,,10.58
Majoritarian Precinct,39,32-39,382,41.98,,,,,6.37,,,,0,,,,0,0.64,0.65,0.33,,,,,,,,,12.83,,6.81,,,,,,,,,11.26,,,,,6.02,,,,48.95
Majoritarian Precinct,40,32-40,766,48.21,,,,,3.28,,,,0,,,,0,0.96,1.21,1.11,,,,,,,7.05,,39.56,,11.1,,,,,,,,,,,,,,0.91,,,,38.64
Majoritarian Precinct,41,32-41,492,36.58,,,,,3.53,,,,0,,,,0,0.74,0.59,0.86,,,,,,,0.2,,35.77,,21.34,,,,,,,,,,,,,,1.63,,,,25.61
Majoritarian Precinct,42,32-42,223,46.95,,,,,3.46,,,,0,,,,0,0.41,0.3,0.24,,,,,,,3.59,,18.39,,30.04,,,,,,,,,,,,,,1.35,,,,40.81
Majoritarian Precinct,43,32-43,413,51.18,,,,,1.67,,,,0,,,,0,0.63,0.58,0.52,,,,,,,1.21,,16.46,,55.45,,,,,,,,,,,,,,1.45,,,,25.42
Majoritarian Precinct,103,32-103,102,52.85,,,,,9.73,,,,0,,,,0,0.26,0.14,0.06,,,,,,,1.96,,8.82,,34.31,,,,,,,,,,,,,,0.0,,,,47.06
Majoritarian Precinct,44,32-44,624,40.18,,,,,3.41,,,,0,,,,0,0.63,0.98,1.12,,,,,,,1.92,,6.89,,2.88,,,,,,,,,15.71,,6.89,0.8,,0.96,,,,42.79
Majoritarian Precinct,45,32-45,322,34.74,,,,,4.73,,,,0,,,,0,0.48,0.51,0.4,,,,,,,0.62,,4.97,,7.76,,,,,,,,,11.8,,1.86,0.0,,0.62,,,,51.24
Majoritarian Precinct,46,32-46,358,46.43,,,,,2.45,,,,0,,,,0,0.85,0.27,0.44,,,,,,,0.0,,4.75,,1.4,,,,,,,,,1.96,,0.0,0.28,,0.56,,,,25.7
Majoritarian Precinct,47,32-47,275,58.02,,,,,10.71,,,,0,,,,0,0.5,0.38,0.41,,,,,,,0.36,,9.09,,8.0,,,,,,,,,7.64,,0.0,0.36,,0.36,,,,47.64
Majoritarian Precinct,48,32-48,501,37.7,,,,,4.39,,,,0,,,,0,0.7,0.68,0.84,,,,,,,,,1.2,,11.98,,,,,,,,,33.13,,,,,1.4,,,,19.56
Majoritarian Precinct,49,32-49,530,35.45,,,,,2.57,,,,0,,,,0,0.84,0.66,0.8,,,,,,,,,1.89,,9.25,,,,,,,,,12.08,,,,,0.94,,,,26.6
Majoritarian Precinct,50,32-50,451,34.88,,,,,4.45,,,,0,,,,0,0.73,0.62,0.61,,,,,,,,,3.1,,9.31,,,,,,,,,10.64,,,,,27.05,,,,27.05
Majoritarian Precinct,98,32-98,517,34.47,,,,,4.44,,,,0,,,,0,0.81,0.7,0.77,,,,,,,,,1.35,,11.03,,,,,,,,,6.77,,,,,1.74,,,,40.43
Majoritarian Precinct,100,32-100,533,46.39,,,,,6.66,,,,0,,,,0,0.73,0.84,0.8,,,,,,,,,3.56,,20.08,,,,,,,,,34.9,,,,,0.75,,,,36.96
Majoritarian Precinct,51,32-51,721,47.53,,,,,2.17,,,,0,,,,0,1.17,1.09,0.72,,,,,,,,,1.11,,5.13,,,,,,,,,52.98,,,,,0.42,,,,33.15
Majoritarian Precinct,52,32-52,320,48.78,,,,,2.44,,,,0,,,,0,0.53,0.48,0.32,,,,,,,,,4.69,,37.81,,,,,,,,,23.13,,,,,0.31,,,,28.75
Majoritarian Precinct,53,32-53,319,50.39,,,,,1.85,,,,0,,,,0,0.4,0.49,0.46,,,,,,,,,7.52,,15.36,,,,,,,,,15.99,,,,,0.94,,,,52.66
Majoritarian Precinct,54,32-54,576,36.29,,,,,2.87,,,,0,,,,0,1.02,0.66,0.83,,,,,,,,,1.39,,8.85,,,,0.52,,,,,11.81,,,,,2.08,,,,40.8
Majoritarian Precinct,55,32-55,594,37.36,,,,,1.98,,,,0,,,,0,0.95,0.73,0.89,,,,,,,,,1.01,,8.25,,,,2.86,,,,,15.99,,,,,0.34,,,,43.94
Majoritarian Precinct,56,32-56,345,28.14,,,,,5.74,,,,0,,,,0,0.45,0.42,0.72,,,,,,,,,44.35,,9.57,,,,1.74,,,,,5.8,,,,,1.16,,,,20.0
Majoritarian Precinct,57,32-57,129,39.69,,,,,2.27,,,,0,,,,0,0.13,0.19,0.25,,,,,,,,,12.4,,21.71,,,,2.33,,,,,6.98,,,,,0.78,,,,46.51
Majoritarian Precinct,89,32-89,243,29.1,,,,,3.57,,,,0,,,,0,0.31,0.45,0.23,,,,,,,,,28.81,,4.94,,,,0.82,,,,,6.58,,,,,2.88,,,,34.57
Majoritarian Precinct,58,32-58,370,51.39,,,,,2.63,,,,0,,,,0,0.51,0.59,0.46,,,,,,,,,4.59,,19.19,,,,,,,,,34.86,,,0.81,,0.81,,,,37.03
Majoritarian Precinct,99,32-99,556,48.6,,,,,2.11,,,,0,,,,0,0.78,0.95,0.54,,,,,,,,,2.52,,9.89,,,,,,,,,40.65,,,2.52,,0.18,,,,43.88
Majoritarian Precinct,59,32-59,554,51.63,,,,,2.64,,,,0,,,,0,0.8,0.61,1.07,,,,,,,,,3.61,,29.6,,,,,,,,,3.07,,0.18,,,0.36,,,,56.86
Majoritarian Precinct,60,32-60,345,46.0,,,,,2.27,,,,0,,,,0,0.43,0.39,0.73,,,,,,,,,16.52,,20.87,,,,,,,,,6.09,,1.74,,,0.58,,,,49.86
Majoritarian Precinct,104,32-104,129,66.49,,,,,10.42,,,,0,,,,0,0.29,0.15,0.16,,,,,,,,,0.78,,20.16,,,,,,,,,29.46,,0.78,,,2.33,,,,38.76
Majoritarian Precinct,61,32-61,754,47.87,,,,,3.08,,,,0,,,,0,0.98,0.97,1.39,,,,,,,,,5.44,,26.13,,,,,,,,,9.68,,6.1,0.4,,,,,,52.25
Majoritarian Precinct,90,32-90,299,34.25,,,,,2.29,,,,0,,,,0,0.57,0.37,0.33,,,,,,,,,13.04,,34.11,,,,,,,,,6.35,,2.68,5.69,,,,,,37.79
Majoritarian Precinct,62,32-62,762,49.48,,,,,2.06,,,,0,,,,0,0.91,1.22,1.07,,,,,,,,,8.14,,6.82,,,,,,,,,39.37,,,,,,,,,37.66
Majoritarian Precinct,63,32-63,415,34.27,,,,,3.94,,,,0,,,,0,0.65,0.59,0.55,,,,,,,,,8.43,,10.12,,,,,,,,,20.0,,,,,,,,,25.06
Majoritarian Precinct,91,32-91,400,39.68,,,,,1.23,,,,0,,,,0,0.54,0.67,0.42,,,,,,,,,0.75,,4.25,,,,,,,,,55.5,,,,,,,,,33.0
Majoritarian Precinct,64,32-64,560,50.0,,,,,0.0,,,,0,,,,0,0.69,0.86,0.76,,,,,,,,,2.5,,1.79,,,,,,,,,36.43,,,0.18,,0.89,,,,43.75
Majoritarian Precinct,65,32-65,205,43.43,,,,,3.76,,,,0,,,,0,0.38,0.29,0.21,,,,,,,,,3.9,,11.22,,,,,,,,,17.07,,,0.98,,1.46,,,,51.22
Majoritarian Precinct,66,32-66,338,37.31,,,,,1.74,,,,0,,,,0,0.51,0.45,0.48,,,,,,,,,3.55,,8.58,,,,,,,,,9.47,,,1.78,,2.66,,,,65.98
Majoritarian Precinct,92,32-92,549,47.95,,,,,3.17,,,,0,,,,0,0.55,1.03,0.71,,,,,,,,,1.09,,2.37,,,,,,,,,35.15,,,0.0,,0.55,,,,55.37
Majoritarian Precinct,93,32-93,378,31.06,,,,,3.08,,,,0,,,,0,0.49,0.6,0.52,,,,,,,,,7.67,,7.41,,,,,,,,,16.67,,,0.0,,0.53,,,,58.73
Majoritarian Precinct,24,32-24,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majoritarian Precinct,67,32-67,795,50.73,,,,,2.09,,,,0,,,,0,1.06,1.05,1.34,,,,,,,2.77,,1.51,,11.7,,,,,,,,,40.25,,,,,,,,,43.65
Majoritarian Precinct,68,32-68,453,60.89,,,,,2.58,,,,0,,,,0,0.68,0.34,1.11,,,,,,,0.22,,0.66,,32.01,,,,,,,,,22.3,,,,,,,,,21.63
Majoritarian Precinct,69,32-69,639,52.12,,,,,3.03,,,,0,,,,0,1.17,0.87,0.66,,,,,,,,,7.67,,24.41,,,,,,,,,18.78,,,0.47,,0.63,,,,32.24
Majoritarian Precinct,70,32-70,321,46.79,,,,,5.31,,,,0,,,,0,0.6,0.42,0.38,,,,,,,,,4.67,,12.46,,,,,,,,,12.77,,,0.62,,1.25,,,,21.18
Majoritarian Precinct,105,32-105,254,65.13,,,,,3.42,,,,0,,,,0,0.46,0.23,0.46,,,,,,,,,6.69,,20.87,,,,,,,,,20.87,,,0.39,,0.79,,,,38.19
Majoritarian Precinct,106,32-106,202,67.79,,,,,6.05,,,,0,,,,0,0.39,0.28,0.22,,,,,,,,,5.94,,24.26,,,,,,,,,13.37,,,0.0,,0.5,,,,37.13
Majoritarian Precinct,71,32-71,420,33.93,,,,,4.55,,,,0,,,,0,0.61,0.63,0.58,,,,,,,,,19.76,,8.57,,,,,,,,,18.1,,2.62,16.67,,3.1,,,,31.19
Majoritarian Precinct,72,32-72,283,47.48,,,,,1.74,,,,0,,,,0,0.32,0.45,0.42,,,,,,,,,7.07,,16.61,,,,,,,,,11.66,,0.35,2.83,,3.89,,,,56.89
Majoritarian Precinct,73,32-73,275,35.62,,,,,5.5,,,,0,,,,0,0.33,0.46,0.4,,,,,,,,,2.55,,5.45,,,,,,,,,26.55,,22.91,0.73,,1.09,,,,40.73
Majoritarian Precinct,74,32-74,481,53.33,,,,,2.83,,,,0,,,,0,0.69,0.76,0.56,,,,,,,,,2.29,,7.07,,,,,,,,,59.88,,1.04,1.66,,0.83,,,,27.03
Majoritarian Precinct,94,32-94,373,37.04,,,,,3.62,,,,0,,,,0,0.44,0.76,0.29,,,,,,,,,8.31,,13.14,,,,,,,,,31.64,,1.34,9.65,,6.7,,,,28.95
Majoritarian Precinct,75,32-75,627,44.91,,,,,2.94,,,,0,,,,0,0.86,0.9,0.94,,,,,,,,,15.63,,6.54,,,,,,,,,4.94,,,,,0.8,,,,48.8
Majoritarian Precinct,76,32-76,242,50.95,,,,,1.22,,,,0,,,,0,0.36,0.29,0.41,,,,,,,,,2.48,,46.69,,,,,,,,,8.26,,,,,0.41,,,,23.97
Majoritarian Precinct,77,32-77,584,41.39,,,,,5.19,,,,0,,,,0,0.87,0.97,0.64,,,,,,,,,3.77,,4.97,,,,,,,,,22.77,,,,,1.03,,,,26.2
Majoritarian Precinct,78,32-78,678,44.46,,,,,3.14,,,,0,,,,0,1.09,1.02,0.74,,,,,,,,,2.06,,12.54,,,,0.3,,,,,27.43,,,,,1.18,,,,40.12
Majoritarian Precinct,79,32-79,841,54.43,,,,,1.87,,,,0,,,,0,1.34,1.17,1.03,,,,,,,,,1.19,,6.78,,,,2.02,,,,,37.46,,,,,0.71,,,,39.24
Majoritarian Precinct,1,33-1,693,47.08,,,,,2.26,,,,0,,,,0,1.08,1.05,0.74,,,,,,,0.14,,21.65,,7.65,,,,,,,,,,,,12.41,,,,,,58.15
Majoritarian Precinct,2,33-2,617,45.2,,,,,2.06,,,,0,,,,0,0.89,0.86,0.89,,,,,,,0.49,,19.94,,15.72,,,,,,,,,,,,5.83,,,,,,57.86
Majoritarian Precinct,3,33-3,551,36.18,,,,,4.17,,,,0,,,,0,0.93,0.78,0.66,,,,,,,0.36,,18.15,,20.51,,,,,,,,,,,,9.62,,,,,,51.0
Majoritarian Precinct,34,33-34,606,42.11,,,,,2.88,,,,0,,,,0,0.85,0.76,1.07,,,,,,,1.16,,16.5,,10.4,,,,,,,,,,,,4.79,,,,,,66.83
Majoritarian Precinct,39,33-39,127,58.8,,,,,9.29,,,,0,,,,0,0.33,0.16,0.06,,,,,,,1.57,,11.02,,10.24,,,,,,,,,,,,4.72,,,,,,72.44
Majoritarian Precinct,4,33-4,356,29.87,,,,,1.66,,,,0,,,,0,0.47,0.49,0.58,,,,,,,23.03,,4.49,,16.29,,,,,,,,,,,,10.67,,12.92,,,,29.49
Majoritarian Precinct,5,33-5,354,30.46,,,,,5.85,,,,0,,,,0,0.47,0.62,0.42,,,,,,,10.17,,6.21,,39.55,,,,,,,,,,,,7.34,,3.11,,,,30.23
Majoritarian Precinct,6,33-6,316,43.53,,,,,1.25,,,,0,,,,0,0.54,0.42,0.36,,,,,,,1.58,,0.32,,7.91,,,,,,,,,,,,49.68,,6.65,,,,27.53
Majoritarian Precinct,36,33-36,381,29.6,,,,,2.31,,,,0,,,,0,0.61,0.44,0.62,,,,,,,9.45,,7.09,,8.14,,,,,,,,,,,,33.6,,3.41,,,,30.71
Majoritarian Precinct,38,33-38,244,33.38,,,,,2.79,,,,0,,,,0,0.29,0.41,0.33,,,,,,,22.54,,2.46,,24.59,,,,,,,,,,,,13.93,,7.79,,,,26.64
Majoritarian Precinct,7,33-7,552,52.67,,,,,3.83,,,,0,,,,0,1.01,0.78,0.55,,,,,,,1.27,,30.62,,23.55,,,,,,,,,,,,,,,,,,44.2
Majoritarian Precinct,8,33-8,601,52.12,,,,,2.44,,,,0,,,,0,1.18,0.87,0.41,,,,,,,0.83,,1.66,,18.14,,,,,,,,,,,,1.0,,,,,,77.87
Majoritarian Precinct,9,33-9,285,60.64,,,,,5.0,,,,0,,,,0,0.54,0.35,0.36,,,,,,,,,4.21,,4.91,,,,,,,,,,,,,,,,,,17.89
Majoritarian Precinct,40,33-40,119,53.36,,,,,5.56,,,,0,,,,0,0.23,0.1,0.23,,,,,,,,,4.2,,16.81,,,,,,,,,,,,,,,,,,32.77
Majoritarian Precinct,10,33-10,788,74.9,,,,,3.19,,,,0,,,,0,1.49,1.29,0.39,,,,,,,,,,,2.16,,,,,,,,,,,,40.48,,,,,,53.68
Majoritarian Precinct,11,33-11,130,62.8,,,,,5.11,,,,0,,,,0,0.37,0.12,0.07,,,,,,,,,,,3.85,,,,,,,,,,,,13.85,,,,,,74.62
Majoritarian Precinct,12,33-12,427,34.97,,,,,2.95,,,,0,,,,0,0.53,0.63,0.68,,,,,,,,,12.41,,11.71,,,,,,,,,,,,2.11,,,,,,72.83
Majoritarian Precinct,13,33-13,470,51.48,,,,,2.69,,,,0,,,,0,0.8,0.65,0.53,,,,,,,,,0.85,,19.36,,,,,,,,,,,,10.85,,,,,,68.09
Majoritarian Precinct,14,33-14,437,34.17,,,,,2.46,,,,0,,,,0,0.66,0.55,0.69,,,,,,,,,5.95,,9.61,,,,,,,,,,,,5.72,,,,,,78.26
Majoritarian Precinct,15,33-15,380,54.13,,,,,0.52,,,,0,,,,0,0.64,0.62,0.23,,,,,,,,,,,3.68,,,,,,,,,,,,5.53,,,,,,90.79
Majoritarian Precinct,16,33-16,308,43.87,,,,,2.53,,,,0,,,,0,0.32,0.61,0.31,,,,,,,,,,,28.9,,,,,,,,,,,,10.71,,,,,,60.06
Majoritarian Precinct,17,33-17,194,60.25,,,,,2.02,,,,0,,,,0,0.44,0.27,0.07,,,,,,,,,,,3.09,,,,,,,,,,,,80.93,,,,,,15.98
