shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
District,30,Kaspi,16681,41.84,0,11,20,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,100.0,1.45,,9.92,,7.34,5.13,,6.74,,,,,,,,,,,0.32,,,,47.13
District,35,Khashuri,17489,35.42,1,16,16,19,,0,0.0,,,0,0.0,,,,,,0,0,0,0,53,100.0,2.61,1.59,4.23,,14.55,3.17,,6.75,1.32,,2.66,,,,,,0.81,,4.01,,,,34.27
District,999,Tbilisi,327424,35.64,4,96,395,228,,0,0.0,,,0,0.0,,,,,,0,0,1,1,729,100.0,2.64,0.58,9.21,,28.01,0.96,0.16,5.63,0.83,,0.44,0.19,,,0.14,0.16,1.25,,2.45,0.48,0.04,0.19,43.49
Majoritarian District,1,79-1,4813,37.23,0,2,7,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,100.0,0.37,,8.21,,19.66,,,4.88,0.52,1.35,0.5,,,,,9.43,9.45,,1.64,3.22,,,31.91
Majoritarian District,2,79-2,4883,35.24,0,1,6,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,100.0,2.36,,4.69,,19.03,,,10.94,0.74,,2.03,,,,,3.56,6.84,,3.58,1.8,,,43.62
Majoritarian District,3,79-3,4741,32.9,0,1,9,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,100.0,3.61,,8.88,,17.32,,,11.94,0.84,,1.9,,,,,3.25,4.6,,1.86,1.2,,,36.76
Majoritarian District,4,79-4,4230,36.95,0,5,4,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,12,100.0,1.21,,7.8,,17.61,,,5.37,2.13,,2.48,,,,,8.44,5.65,,2.27,,,,40.71
Majoritarian District,5,79-5,4317,28.68,0,4,4,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,11,100.0,2.8,,9.24,,24.16,,,8.22,3.34,4.38,,,,,,6.42,,,2.27,,,,37.71
Majoritarian District,6,79-6,4492,32.75,1,0,6,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,11,100.0,0.71,,7.99,,18.37,,,11.46,0.62,,2.87,,,,,1.98,7.72,,1.34,2.45,,,33.28
Majoritarian District,7,79-7,4808,38.26,0,0,5,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,9,100.0,2.93,,9.21,,15.91,,,10.92,0.19,,4.51,,,,,2.27,7.4,,1.25,2.52,,,37.77
Majoritarian District,8,79-8,4533,34.96,0,1,6,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,9,100.0,1.63,,6.22,,17.34,,,10.32,2.8,3.29,2.16,,,,,9.38,5.93,,1.39,1.46,,,36.93
Majoritarian District,9,79-9,4474,34.62,0,6,4,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,100.0,0.45,,7.33,,16.76,,,9.68,0.58,1.36,0.96,,,,,11.29,6.48,,2.19,,,,41.82
Majoritarian District,10,79-10,5085,40.95,0,4,6,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,11,100.0,3.42,,6.59,,13.12,,,3.11,0.92,2.62,0.75,,,,,10.95,10.42,,1.2,,,,45.98
Majoritarian District,1,80-1,2041,63.66,0,4,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,0.54,,24.64,,27.73,,,4.02,0.98,,,,,,,,,,,,,,41.3
Majoritarian District,2,80-2,1213,61.89,0,2,2,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,,,12.12,,22.59,,,3.46,,,,,,,,,,,,,,,28.03
Majoritarian District,3,80-3,876,71.57,0,3,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,1.83,,5.82,,18.04,,,21.35,,,,,,,,,,,,,,,52.63
Majoritarian District,4,80-4,1453,57.77,1,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,0.69,,21.75,,17.89,,,4.27,,,,,,,,,,,,,,,43.22
Majoritarian District,5,80-5,733,68.44,0,2,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,,,6.96,,44.07,,,2.59,,,,,,,,,,,,,,,46.11
Majoritarian District,6,80-6,577,74.74,0,1,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,,,7.97,,28.94,,,19.93,2.77,,,,,,,,,,,,,,40.03
Majoritarian District,7,80-7,769,65.0,0,2,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,2.21,,14.43,,26.27,,,,11.05,,,,,,,,,,,,,,45.64
Majoritarian District,8,80-8,1512,60.05,0,3,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,4.7,,17.13,,15.08,,,0.73,,,,,,,,,,,,,,,45.97
Majoritarian District,9,80-9,800,65.04,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.88,,13.25,,20.88,,,0.63,,,,,,,,,,,,,,,26.13
Majoritarian District,2,83-2,1521,41.71,0,1,1,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,1.58,,7.89,,9.66,,,7.89,0.92,,,,,,,3.55,1.25,,0.59,,,,39.71
Majoritarian District,3,83-3,867,64.22,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,,,5.31,,27.11,,,2.31,0.46,,,,,,,,,,0.23,,,,36.33
Majoritarian District,4,83-4,2414,30.04,0,1,4,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,0.79,,11.85,,16.45,,,6.55,0.37,,,,,,,,,,1.66,,,,46.98
Majoritarian District,5,83-5,1322,50.9,0,2,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.76,,22.77,,23.68,,,1.06,0.08,,,,,,,2.27,0.68,,0.98,,,,47.73
Majoritarian District,6,83-6,3319,41.01,0,1,6,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,4.28,,10.49,,17.23,,,3.19,0.3,,,,,,,7.53,1.05,,2.17,,,,35.28
Majoritarian District,8,83-8,786,60.18,1,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,3.31,,7.12,,36.51,,,3.69,0.0,,,,,,,,,,1.78,,,,47.46
Majoritarian District,9,83-9,1191,52.7,2,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,,,9.4,,9.66,,,,0.25,,,,,,,,0.08,,0.76,,,,46.94
Majoritarian District,10,83-10,2641,32.54,1,2,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,6,100.0,0.64,,22.98,,25.52,,,3.45,1.48,,,,,,,,,,1.93,,,,41.31
