shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,Alliance of Patriots,Self-governance to People,Reformers,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Labour Party,Party of People,Merab Kostava Society,Georgian Dream
Precinct,23,12-23,474,41.11,,,,,4.24,,,,0,,,,0,0.82,0.51,0.81,,,,,,,,,12.03,28.06,,,,,,,,,1.69,,,,55.49
Precinct,24,12-24,407,50.43,,,,,4.24,,,,0,,,,0,0.55,0.64,0.55,,,,,,,,,16.46,18.18,,,,,,,,,0.98,,,,64.13
Precinct,25,12-25,488,49.69,,,,,5.43,,,,0,,,,0,0.69,0.61,0.93,,,,,,,,,33.61,14.55,,,,,,,,,1.02,,,,50.82
Precinct,26,12-26,692,46.69,,,,,3.49,,,,0,,,,0,1.08,0.81,1.19,,,,,,,,,12.57,27.17,,,,,,,,,1.45,,,,58.38
Precinct,27,12-27,635,42.22,,,,,5.51,,,,0,,,,0,0.81,0.92,1.12,,,,,,,,,16.38,23.46,,,,,,,,,0.94,,,,59.21
Precinct,28,12-28,636,61.39,,,,,5.22,,,,0,,,,0,0.76,0.93,1.17,,,,,,,,,11.79,24.21,,,,,,,,,0.94,,,,63.05
Precinct,29,12-29,538,37.91,,,,,4.27,,,,0,,,,0,0.86,0.63,0.92,,,,,,,,,10.78,20.26,,,,,,,,,0.74,,,,67.66
Precinct,30,12-30,527,48.66,,,,,4.53,,,,0,,,,0,0.68,0.82,0.79,,,,,,,,,12.52,21.44,,,,,,,,,0.38,,,,65.65
Precinct,31,12-31,414,33.09,,,,,5.91,,,,0,,,,0,0.57,0.45,0.93,,,,,,,,,7.25,30.43,,,,,,,,,0.72,,,,61.35
Precinct,32,12-32,460,32.81,,,,,6.69,,,,0,,,,0,0.67,0.61,0.83,,,,,,,,,8.91,30.43,,,,,,,,,1.3,,,,59.13
Precinct,33,12-33,478,33.64,,,,,5.16,,,,0,,,,0,0.66,0.71,0.74,,,,,,,,,12.34,33.05,,,,,,,,,1.67,,,,52.3
Precinct,34,12-34,531,64.36,,,,,3.45,,,,0,,,,0,0.77,0.86,0.6,,,,,,,,,2.64,45.76,,,,,,,,,0.94,,,,50.85
Precinct,35,12-35,648,59.5,,,,,3.43,,,,0,,,,0,1.07,1.01,0.62,,,,,,,,,14.04,24.38,,,,,,,,,1.85,,,,59.72
Precinct,36,12-36,651,50.78,,,,,10.08,,,,0,,,,0,1.16,0.91,0.96,,,,,,,,,16.13,12.9,,,,,,,,,3.23,,,,67.74
Precinct,37,12-37,459,58.62,,,,,7.27,,,,0,,,,0,0.77,0.77,0.44,,,,,,,,,16.56,8.93,,,,,,,,,4.36,,,,70.15
Precinct,38,12-38,372,57.32,,,,,3.63,,,,0,,,,0,0.74,0.55,0.25,,,,,,,,,9.14,5.38,,,,,,,,,0.54,,,,84.68
Precinct,39,12-39,608,49.63,,,,,10.46,,,,0,,,,0,0.93,0.84,1.13,,,,,,,,,19.08,9.87,,,,,,,,,1.48,,,,69.41
Precinct,40,12-40,346,72.08,,,,,2.54,,,,0,,,,0,0.6,0.32,0.63,,,,,,,,,6.07,44.8,,,,,,,,,1.45,,,,47.69
Precinct,41,12-41,635,55.75,,,,,2.46,,,,0,,,,0,0.88,0.99,0.79,,,,,,,,,7.4,14.8,,,,,,,,,11.65,,,,66.14
Precinct,42,12-42,216,51.55,,,,,2.26,,,,0,,,,0,0.38,0.3,0.23,,,,,,,,,5.56,11.11,,,,,,,,,6.48,,,,76.85
Precinct,43,12-43,544,39.0,,,,,2.86,,,,0,,,,0,0.77,0.74,0.84,,,,,,,,,27.57,25.0,,,,,,,,,1.29,,,,45.96
Precinct,44,12-44,212,53.54,,,,,1.4,,,,0,,,,0,0.25,0.35,0.28,,,,,,,,,9.43,16.51,,,,,,,,,1.42,,,,72.64
Precinct,45,12-45,459,50.33,,,,,4.57,,,,0,,,,0,0.59,0.58,0.91,,,,,,,,,21.79,21.35,,,,,,,,,1.74,,,,54.68
Precinct,46,12-46,420,42.77,,,,,4.98,,,,0,,,,0,0.62,0.5,0.8,,,,,,,,,11.19,32.86,,,,,,,,,2.14,,,,53.57
Precinct,47,12-47,363,36.78,,,,,2.94,,,,0,,,,0,0.56,0.41,0.64,,,,,,,,,15.15,25.9,,,,,,,,,1.65,,,,57.3
Precinct,48,12-48,509,52.26,,,,,3.23,,,,0,,,,0,0.68,0.64,0.95,,,,,,,,,4.91,30.26,,,,,,,,,2.55,,,,62.28
Precinct,49,12-49,437,38.33,,,,,5.62,,,,0,,,,0,0.5,0.57,0.95,,,,,,,,,9.84,29.52,,,,,,,,,1.37,,,,59.04
Precinct,50,12-50,187,62.75,,,,,8.33,,,,0,,,,0,0.31,0.3,0.23,,,,,,,,,7.49,11.23,,,,,,,,,0.53,,,,80.75
Precinct,51,12-51,39,62.9,,,,,2.5,,,,0,,,,0,0.11,0.04,0.01,,,,,,,,,5.13,10.26,,,,,,,,,2.56,,,,82.05
Precinct,1,13-1,431,51.56,,,,,4.86,,,,0,,,,0,0.71,0.7,0.41,,,,,,,3.48,,20.42,13.46,,,,,,,,,,,,3.25,59.16
Precinct,2,13-2,18,69.23,,,,,5.26,,,,0,,,,0,0.04,0.03,0.01,,,,,,,0.0,,16.67,5.56,,,,,,,,,,,,0.0,77.78
Precinct,3,13-3,410,41.84,,,,,1.91,,,,0,,,,0,0.57,0.52,0.71,,,,,,,8.78,,7.32,30.24,,,,,,,,,,,,2.68,50.73
Precinct,4,13-4,433,37.92,,,,,4.2,,,,0,,,,0,0.74,0.52,0.66,,,,,,,8.78,,9.24,20.55,,,,,,,,,,,,3.46,57.74
Precinct,5,13-5,495,56.77,,,,,4.62,,,,0,,,,0,0.82,0.59,0.81,,,,,,,1.01,,11.72,15.15,,,,,,,,,,,,2.83,68.69
