region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,2,,29,,1286,6,173,444,568,1200,16,,,,,,,,11,,67,175,9,3,51,1,,4,,0,,,0,7,,1,1,220
,2,,30,,1282,5,184,411,521,1200,25,,,,,,,,14,,66,131,6,2,26,0,,1,,0,,,5,8,,0,1,235
,2,,31,,1120,6,141,355,477,1050,8,,,,,,,,7,,71,117,2,0,29,0,,2,,0,,,5,8,,1,0,226
,2,,32,,866,12,114,304,403,800,17,,,,,,,,5,,52,102,8,0,33,0,,1,,0,,,1,4,,3,0,177
,2,,33,,1075,6,151,367,479,1000,14,,,,,,,,5,,69,113,12,2,32,0,,2,,0,,,4,6,,0,0,220
,2,,34,,1265,8,182,430,536,1200,19,,,,,,,,13,,86,118,7,5,39,0,,0,,0,,,1,7,,0,0,241
,2,,35,,1140,11,150,342,445,1050,21,,,,,,,,15,,74,106,9,1,28,3,,0,,0,,,2,5,,0,0,182
,2,,36,,1263,9,176,449,570,1200,20,,,,,,,,13,,96,129,7,1,49,0,,2,,1,,,2,13,,0,0,237
,2,,37,,1277,9,166,395,529,1200,19,,,,,,,,8,,61,157,4,1,27,1,,1,,2,,,1,11,,0,0,235
,2,,38,,1370,7,188,437,546,1300,20,,,,,,,,5,,74,135,11,1,54,1,,1,,1,,,0,13,,1,0,229
,2,,39,,1362,7,138,375,521,1250,19,,,,,,,,15,,66,114,3,6,43,0,,1,,0,,,4,4,,1,0,247
,2,,40,,1032,9,110,330,442,950,12,,,,,,,,9,,68,100,10,2,22,0,,0,,2,,,8,11,,1,0,197
,2,,41,,808,5,71,226,286,750,8,,,,,,,,1,,47,83,5,1,15,3,,1,,1,,,1,9,,0,0,111
,2,,42,,1339,6,171,403,521,1250,24,,,,,,,,21,,63,139,3,3,48,0,,1,,1,,,4,12,,3,1,195
,2,,43,,1394,7,193,398,511,1350,17,,,,,,,,6,,71,119,8,0,32,2,,3,,0,,,0,5,,1,0,247
,2,,44,,1283,10,172,424,573,1200,14,,,,,,,,22,,74,156,9,0,21,1,,7,,0,,,1,14,,1,0,251
,2,,45,,1393,9,185,457,595,1300,27,,,,,,,,15,,91,149,5,1,45,0,,2,,1,,,7,12,,1,0,239
,2,,46,,1146,11,158,358,487,1050,19,,,,,,,,11,,55,91,11,0,34,0,,1,,0,,,1,12,,1,0,251
,2,,47,,1275,9,181,420,537,1200,11,,,,,,,,14,,85,93,5,0,48,0,,2,,1,,,0,15,,0,0,263
,2,,48,,1422,7,184,442,532,1350,20,,,,,,,,18,,49,135,4,1,37,1,,1,,0,,,4,7,,0,0,254
,2,,49,,1383,12,150,440,587,1300,25,,,,,,,,15,,71,127,13,0,37,1,,12,,1,,,12,1,,1,3,267
,2,,50,,1492,9,155,513,656,1400,14,,,,,,,,23,,106,142,16,0,39,0,,1,,1,,,10,7,,1,1,296
,2,,51,,1349,8,145,476,617,1250,16,,,,,,,,11,,74,107,12,1,31,0,,0,,0,,,6,23,,0,0,337
,2,,52,,1145,10,136,428,535,1050,19,,,,,,,,9,,62,131,11,1,23,0,,2,,0,,,1,10,,0,0,256
,2,,53,,1384,6,140,320,457,1350,21,,,,,,,,14,,64,96,8,1,27,1,,5,,1,,,1,15,,0,0,202
,2,,54,,1044,8,143,393,491,950,30,,,,,,,,11,,58,135,3,0,42,1,,1,,0,,,2,7,,1,0,200
,2,,55,,1394,8,167,443,574,1300,24,,,,,,,,10,,102,149,10,4,22,1,,1,,0,,,3,10,,2,1,235
,2,,56,,1171,8,96,246,320,1100,7,,,,,,,,5,,29,95,2,0,16,3,,2,,0,,,2,5,,0,2,152
,2,,57,,1170,7,165,363,456,1100,20,,,,,,,,26,,62,103,9,2,29,0,,0,,0,,,0,11,,0,2,191
,2,,58,,1288,6,167,392,501,1200,10,,,,,,,,11,,64,128,1,0,33,0,,0,,0,,,1,5,,0,1,246
,2,,59,,1389,7,178,425,550,1300,17,,,,,,,,21,,71,119,9,0,56,0,,2,,1,,,6,9,,0,0,239
,2,,60,,1495,8,200,575,715,1400,21,,,,,,,,27,,108,154,14,1,37,1,,8,,0,,,5,11,,1,1,326
,2,,61,,1344,10,181,431,555,1250,24,,,,,,,,11,,69,126,8,2,32,0,,2,,1,,,3,11,,0,0,266
,2,,62,,1197,3,142,380,486,1100,21,,,,,,,,12,,85,124,13,2,25,2,,2,,0,,,3,15,,1,0,181
,2,,63,,1156,12,161,382,486,1100,16,,,,,,,,11,,57,138,8,0,47,0,,2,,0,,,2,8,,0,0,197
,2,,64,,1294,7,153,406,526,1200,32,,,,,,,,12,,78,115,5,3,25,0,,2,,0,,,1,14,,0,0,237
,2,,65,,686,7,91,216,257,650,9,,,,,,,,9,,19,68,0,0,3,0,,0,,1,,,0,3,,0,0,145
,2,,66,,1207,5,165,367,494,1150,13,,,,,,,,7,,61,105,2,2,31,1,,1,,0,,,1,9,,0,1,261
,2,,67,,991,5,169,376,465,950,10,,,,,,,,4,,50,115,2,1,28,0,,1,,0,,,1,9,,1,0,243
,2,,68,,1241,5,250,492,575,1200,18,,,,,,,,7,,40,179,0,0,13,0,,1,,0,,,0,4,,0,0,313
,2,,69,,1034,9,200,449,591,1000,13,,,,,,,,3,,23,279,0,1,13,1,,0,,4,,,2,7,,0,0,245
,2,,70,,935,10,127,297,396,900,12,,,,,,,,6,,30,124,1,1,15,0,,0,,5,,,1,3,,0,0,196
,2,,71,,1441,3,142,360,495,1350,17,,,,,,,,12,,50,116,2,2,24,0,,1,,0,,,1,6,,1,0,262
,2,,72,,851,13,92,270,369,800,12,,,,,,,,17,,32,89,6,1,32,0,,1,,0,,,3,11,,0,0,165
,2,,73,,992,10,139,292,347,950,7,,,,,,,,12,,42,83,9,3,24,1,,0,,0,,,4,9,,0,3,149
,2,,74,,871,8,105,254,322,800,15,,,,,,,,4,,45,82,8,0,14,0,,2,,0,,,3,11,,0,0,133
,2,,75,,884,8,107,285,379,850,9,,,,,,,,3,,45,78,1,0,16,1,,1,,1,,,0,14,,0,0,209
,2,,76,,1190,8,124,406,550,1100,20,,,,,,,,22,,65,126,14,3,33,0,,1,,0,,,6,11,,0,0,251
,2,,78,,1077,11,130,324,426,1000,12,,,,,,,,10,,60,111,6,3,13,1,,1,,0,,,11,3,,1,1,192
,2,,79,,917,5,94,228,298,850,9,,,,,,,,6,,28,69,2,1,6,0,,0,,3,,,1,6,,1,0,166
,2,,80,,1001,8,133,368,463,950,22,,,,,,,,5,,48,102,20,0,33,0,,0,,0,,,7,6,,1,1,220
,3,,1,,1565,10,184,467,587,1450,14,,,,,,,,15,,69,151,4,2,29,1,,1,,0,,,1,13,,2,0,285
,3,,2,,1349,9,165,461,601,1250,8,,,,,,,,12,,93,148,7,2,35,0,,2,,0,,,7,7,,4,0,276
,3,,3,,1255,9,166,406,532,1150,24,,,,,,,,19,,48,143,17,2,32,0,,2,,0,,,2,8,,6,0,229
,3,,4,,1482,8,202,437,561,1400,16,,,,,,,,21,,48,125,8,0,33,0,,4,,1,,,4,13,,0,0,288
,3,,5,,1527,4,202,476,592,1450,23,,,,,,,,23,,80,121,15,2,35,1,,3,,0,,,5,15,,0,1,267
